"";"datum";"district";"region";"covid";"pocet"
"1";2021-06-28;"BA";"BA";"non_covid";137
"2";2021-06-28;"BB";"BB";"non_covid";26
"3";2021-06-28;"BJ";"PO";"non_covid";18
"4";2021-06-28;"BN";"TN";"non_covid";5
"5";2021-06-28;"BR";"BB";"non_covid";24
"6";2021-06-28;"BS";"BB";"non_covid";6
"7";2021-06-28;"BY";"ZA";"non_covid";13
"8";2021-06-28;"CA";"ZA";"non_covid";24
"9";2021-06-28;"DK";"ZA";"non_covid";8
"10";2021-06-28;"DS";"TT";"non_covid";45
"11";2021-06-28;"DT";"BB";"non_covid";19
"12";2021-06-28;"GA";"TT";"non_covid";27
"13";2021-06-28;"GL";"KE";"non_covid";6
"14";2021-06-28;"HC";"TT";"non_covid";12
"15";2021-06-28;"HE";"PO";"non_covid";15
"16";2021-06-28;"IL";"TN";"non_covid";18
"17";2021-06-28;"KA";"BB";"non_covid";6
"18";2021-06-28;"KE";"KE";"non_covid";67
"19";2021-06-28;"KK";"PO";"non_covid";37
"20";2021-06-28;"KM";"ZA";"non_covid";4
"21";2021-06-28;"KN";"NR";"non_covid";17
"22";2021-06-28;"KS";"KE";"non_covid";38
"23";2021-06-28;"LC";"BB";"non_covid";20
"24";2021-06-28;"LE";"PO";"non_covid";7
"25";2021-06-28;"LM";"ZA";"non_covid";15
"26";2021-06-28;"LV";"NR";"non_covid";28
"27";2021-06-28;"MA";"BA";"non_covid";20
"28";2021-06-28;"MI";"KE";"covid";1
"29";2021-06-28;"MI";"KE";"non_covid";57
"30";2021-06-28;"ML";"PO";"non_covid";7
"31";2021-06-28;"MT";"ZA";"covid";1
"32";2021-06-28;"MT";"ZA";"non_covid";33
"33";2021-06-28;"MY";"TN";"non_covid";9
"34";2021-06-28;"NM";"TN";"non_covid";18
"35";2021-06-28;"NO";"ZA";"non_covid";13
"36";2021-06-28;"NR";"NR";"non_covid";37
"37";2021-06-28;"NZ";"NR";"non_covid";36
"38";2021-06-28;"PB";"TN";"non_covid";16
"39";2021-06-28;"PD";"TN";"non_covid";46
"40";2021-06-28;"PE";"TN";"non_covid";13
"41";2021-06-28;"PK";"BA";"non_covid";22
"42";2021-06-28;"PN";"TT";"non_covid";17
"43";2021-06-28;"PO";"PO";"non_covid";54
"44";2021-06-28;"PP";"PO";"non_covid";47
"45";2021-06-28;"PT";"BB";"non_covid";6
"46";2021-06-28;"PU";"TN";"non_covid";16
"47";2021-06-28;"RA";"BB";"non_covid";13
"48";2021-06-28;"RK";"ZA";"covid";1
"49";2021-06-28;"RK";"ZA";"non_covid";12
"50";2021-06-28;"RS";"BB";"non_covid";34
"51";2021-06-28;"RV";"KE";"covid";1
"52";2021-06-28;"RV";"KE";"non_covid";18
"53";2021-06-28;"SA";"NR";"non_covid";15
"54";2021-06-28;"SB";"PO";"non_covid";16
"55";2021-06-28;"SC";"BA";"non_covid";23
"56";2021-06-28;"SE";"TT";"non_covid";12
"57";2021-06-28;"SI";"TT";"non_covid";11
"58";2021-06-28;"SK";"PO";"non_covid";12
"59";2021-06-28;"SL";"PO";"non_covid";10
"60";2021-06-28;"SN";"KE";"non_covid";20
"61";2021-06-28;"SO";"KE";"non_covid";13
"62";2021-06-28;"SP";"PO";"non_covid";4
"63";2021-06-28;"SV";"PO";"non_covid";3
"64";2021-06-28;"TN";"TN";"non_covid";33
"65";2021-06-28;"TO";"NR";"non_covid";21
"66";2021-06-28;"TR";"ZA";"non_covid";6
"67";2021-06-28;"TS";"ZA";"non_covid";4
"68";2021-06-28;"TT";"TT";"non_covid";44
"69";2021-06-28;"TV";"KE";"non_covid";40
"70";2021-06-28;"VK";"BB";"non_covid";8
"71";2021-06-28;"VT";"PO";"non_covid";17
"72";2021-06-28;"ZA";"ZA";"non_covid";42
"73";2021-06-28;"ZC";"BB";"non_covid";8
"74";2021-06-28;"ZH";"BB";"non_covid";13
"75";2021-06-28;"ZM";"NR";"non_covid";12
"76";2021-06-28;"ZV";"BB";"non_covid";20
"77";2021-06-28;NA;"BA";"non_covid";22
"78";2021-06-28;NA;"BB";"covid";1
"79";2021-06-28;NA;"BB";"non_covid";27
"80";2021-06-28;NA;"KE";"covid";1
"81";2021-06-28;NA;"KE";"non_covid";5
"82";2021-06-28;NA;"NR";"non_covid";19
"83";2021-06-28;NA;"PO";"non_covid";14
"84";2021-06-28;NA;"TN";"non_covid";5
"85";2021-06-28;NA;"TT";"non_covid";8
"86";2021-06-28;NA;"ZA";"non_covid";13
"87";2021-06-28;NA;NA;"non_covid";1
"88";2021-06-29;"BA";"BA";"non_covid";137
"89";2021-06-29;"BB";"BB";"non_covid";26
"90";2021-06-29;"BJ";"PO";"non_covid";24
"91";2021-06-29;"BN";"TN";"non_covid";10
"92";2021-06-29;"BR";"BB";"non_covid";22
