"Datum";"Region";"PCR_Pos";"Ag_Neg";"Ag_Pos";"Total";"Pocet.potvrdenych";"Potvrdenych";"newcases";"date";"positive"
2021-07-15;"Banskobystrický kraj";1;1826;0;1826;38097;79333;1;2021-07-15;79333
2021-07-14;"Banskobystrický kraj";3;1240;0;1240;NA;79333;3;2021-07-14;79332
2021-07-13;"Banskobystrický kraj";2;1372;0;1372;NA;79333;2;2021-07-13;79329
2021-07-12;"Banskobystrický kraj";1;1940;0;1940;NA;79333;1;2021-07-12;79327
2021-07-11;"Banskobystrický kraj";0;818;0;818;NA;79333;0;2021-07-11;79326
2021-07-10;"Banskobystrický kraj";2;736;0;736;NA;79333;2;2021-07-10;79326
2021-07-09;"Banskobystrický kraj";3;2246;0;2246;NA;79333;3;2021-07-09;79324
2021-07-08;"Banskobystrický kraj";0;2166;2;2168;NA;79333;2;2021-07-08;79321
2021-07-07;"Banskobystrický kraj";1;1476;0;1476;NA;79333;1;2021-07-07;79319
2021-07-06;"Banskobystrický kraj";6;2730;0;2730;NA;79333;6;2021-07-06;79318
2021-07-05;"Banskobystrický kraj";2;784;2;786;NA;79333;4;2021-07-05;79312
2021-07-04;"Banskobystrický kraj";0;636;0;636;NA;79333;0;2021-07-04;79308
2021-07-03;"Banskobystrický kraj";1;826;2;828;NA;79333;3;2021-07-03;79308
2021-07-02;"Banskobystrický kraj";3;1974;0;1974;NA;79333;3;2021-07-02;79305
2021-07-01;"Banskobystrický kraj";0;1366;2;1368;NA;79333;2;2021-07-01;79302
2021-06-30;"Banskobystrický kraj";3;0;0;0;NA;79333;3;2021-06-30;79300
2021-06-29;"Banskobystrický kraj";2;0;0;0;NA;79333;2;2021-06-29;79297
2021-06-28;"Banskobystrický kraj";3;0;0;0;NA;79333;3;2021-06-28;79295
2021-06-27;"Banskobystrický kraj";0;0;0;0;NA;79333;0;2021-06-27;79292
2021-06-26;"Banskobystrický kraj";0;0;0;0;NA;79333;0;2021-06-26;79292
2021-06-25;"Banskobystrický kraj";2;0;0;0;NA;79333;2;2021-06-25;79292
2021-06-24;"Banskobystrický kraj";6;0;0;0;NA;79333;6;2021-06-24;79290
2021-06-23;"Banskobystrický kraj";4;0;0;0;NA;79333;4;2021-06-23;79284
2021-06-22;"Banskobystrický kraj";7;0;0;0;NA;79333;7;2021-06-22;79280
2021-06-21;"Banskobystrický kraj";6;0;0;0;NA;79333;6;2021-06-21;79273
2021-06-20;"Banskobystrický kraj";0;0;0;0;NA;79333;0;2021-06-20;79267
2021-06-19;"Banskobystrický kraj";0;0;0;0;NA;79333;0;2021-06-19;79267
2021-06-18;"Banskobystrický kraj";4;0;0;0;NA;79333;4;2021-06-18;79267
2021-06-17;"Banskobystrický kraj";2;0;0;0;NA;79333;2;2021-06-17;79263
2021-06-16;"Banskobystrický kraj";10;0;0;0;NA;79333;10;2021-06-16;79261
2021-06-15;"Banskobystrický kraj";9;0;0;0;NA;79333;9;2021-06-15;79251
2021-06-14;"Banskobystrický kraj";8;0;0;0;NA;79333;8;2021-06-14;79242
2021-06-13;"Banskobystrický kraj";0;0;0;0;NA;79333;0;2021-06-13;79234
2021-06-12;"Banskobystrický kraj";3;0;0;0;NA;79333;3;2021-06-12;79234
2021-06-11;"Banskobystrický kraj";5;0;0;0;NA;79333;5;2021-06-11;79231
2021-06-10;"Banskobystrický kraj";10;0;0;0;NA;79333;10;2021-06-10;79226
2021-06-09;"Banskobystrický kraj";9;0;0;0;NA;79333;9;2021-06-09;79216
2021-06-08;"Banskobystrický kraj";15;0;0;0;NA;79333;15;2021-06-08;79207
2021-06-07;"Banskobystrický kraj";4;0;0;0;NA;79333;4;2021-06-07;79192
2021-06-06;"Banskobystrický kraj";1;0;0;0;NA;79333;1;2021-06-06;79188
