"date";"Region";"newcases";"positive"
2022-07-07;"Banskobystrický kraj";64;91596
2022-07-06;"Banskobystrický kraj";65;91532
2022-07-05;"Banskobystrický kraj";11;91467
2022-07-04;"Banskobystrický kraj";61;91456
2022-07-03;"Banskobystrický kraj";1;91395
2022-07-02;"Banskobystrický kraj";13;91394
2022-07-01;"Banskobystrický kraj";55;91381
2022-06-30;"Banskobystrický kraj";68;91326
2022-06-29;"Banskobystrický kraj";56;91258
2022-06-28;"Banskobystrický kraj";47;91202
2022-06-27;"Banskobystrický kraj";57;91155
2022-06-26;"Banskobystrický kraj";7;91098
2022-06-25;"Banskobystrický kraj";16;91091
2022-06-24;"Banskobystrický kraj";31;91075
2022-06-23;"Banskobystrický kraj";31;91044
2022-06-22;"Banskobystrický kraj";49;91013
2022-06-21;"Banskobystrický kraj";39;90964
2022-06-20;"Banskobystrický kraj";54;90925
2022-06-19;"Banskobystrický kraj";3;90871
2022-06-18;"Banskobystrický kraj";1;90868
2022-06-17;"Banskobystrický kraj";19;90867
2022-06-16;"Banskobystrický kraj";10;90848
2022-06-15;"Banskobystrický kraj";18;90838
2022-06-14;"Banskobystrický kraj";12;90820
2022-06-13;"Banskobystrický kraj";41;90808
2022-06-12;"Banskobystrický kraj";3;90767
2022-06-11;"Banskobystrický kraj";4;90764
2022-06-10;"Banskobystrický kraj";27;90760
2022-06-09;"Banskobystrický kraj";10;90733
2022-06-08;"Banskobystrický kraj";35;90723
2022-06-07;"Banskobystrický kraj";19;90688
2022-06-06;"Banskobystrický kraj";21;90669
2022-06-05;"Banskobystrický kraj";6;90648
2022-06-04;"Banskobystrický kraj";3;90642
2022-06-03;"Banskobystrický kraj";13;90639
2022-06-02;"Banskobystrický kraj";12;90626
2022-06-01;"Banskobystrický kraj";16;90614
2022-05-31;"Banskobystrický kraj";10;90598
2022-05-30;"Banskobystrický kraj";13;90588
2022-05-29;"Banskobystrický kraj";0;90575
2022-05-28;"Banskobystrický kraj";3;90575
2022-05-27;"Banskobystrický kraj";12;90572
2022-05-26;"Banskobystrický kraj";8;90560
2022-05-25;"Banskobystrický kraj";18;90552
2022-05-24;"Banskobystrický kraj";18;90534
2022-05-23;"Banskobystrický kraj";18;90516
2022-05-22;"Banskobystrický kraj";3;90498
2022-05-21;"Banskobystrický kraj";10;90495
2022-05-20;"Banskobystrický kraj";25;90485
2022-05-19;"Banskobystrický kraj";10;90460
2022-05-18;"Banskobystrický kraj";31;90450
2022-05-17;"Banskobystrický kraj";13;90419
2022-05-16;"Banskobystrický kraj";38;90406
2022-05-15;"Banskobystrický kraj";5;90368
2022-05-14;"Banskobystrický kraj";4;90363
