Date;DeathCovid;DeathWithCovid;Total
24.9.2020;43;;43
25.9.2020;44;;44
28.9.2020;45;;45
29.9.2020;48;;48
2.10.2020;54;;54
3.10.2020;55;20;75
7.10.2020;57;25;82
12.10.2020;61;25;86
13.10.2020;66;25;91
14.10.2020;71;25;96
16.10.2020;82;35;117
17.10.2020;88;35;123
18.10.2020;92;37;129
20.10.2020;98;42;140
21.10.2020;115;52;167
22.10.2020;134;61;195
24.10.2020;159;65;224
25.10.2020;165;65;230
26.10.2020;176;68;244
27.10.2020;184;78;262
28.10.2020;200;82;282
29.10.2020;212;86;298
30.10.2020;219;86;305
2.11.2020;235;90;325
3.11.2020;261;97;358
4.11.2020;286;112;398
5.11.2020;317;121;438
6.11.2020;351;127;478
8.11.2020;366;129;495
9.11.2020;390;144;534
10.11.2020;414;155;569
11.11.2020;464;164;628
12.11.2020;491;164;655
13.11.2020;510;167;677
15.11.2020;526;167;693
16.11.2020;557;171;728
17.11.2020;579;176;755
18.11.2020;614;183;797
19.11.2020;644;185;829
20.11.2020;671;188;859
22.11.2020;709;194;903
23.11.2020;732;196;928
25.11.2020;749;196;945
26.11.2020;771;198;969
27.11.2020;798;205;1003
28.11.2020;816;208;1024
29.11.2020;839;212;1051
30.11.2020;868;219;1087
1.12.2020;898;220;1118
2.12.2020;930;240;1170
3.12.2020;957;251;1208
4.12.2020;981;253;1234
5.12.2020;996;253;1249
6.12.2020;1018;256;1274
7.12.2020;1046;270;1316
8.12.2020;1084;274;1358
9.12.2020;1104;280;1384
10.12.2020;1122;290;1412
11.12.2020;1148;293;1441
12.12.2020;1175;303;1478
13.12.2020;1205;313;1518
14.12.2020;1251;334;1585
15.12.2020;1309;350;1659
16.12.2020;1378;365;1743
17.12.2020;1440;379;1819
18.12.2020;1510;387;1897
19.12.2020;1555;394;1949
20.12.2020;1618;397;2015
21.12.2020;1655;412;2067
22.12.2020;1686;420;2106
23.12.2020;1732;429;2161
26.12.2020;1773;458;2231
27.12.2020;1879;498;2377
28.12.2020;1983;501;2484
29.12.2020;2065;507;2572
30.12.2020;2138;531;2669
31.12.2020;2250;569;2819
2.1.2021;2317;591;2908
3.1.2021;2521;610;3131
4.1.2021;2603;622;3225
5.1.2021;2657;627;3284
6.1.2021;2717;632;3349
7.1.2021;2788;638;3426
8.1.2021;2836;644;3480
9.1.2021;2918;654;3572
10.1.2021;3007;663;3670
11.1.2021;3102;668;3770
12.1.2021;3163;676;3839
13.1.2021;3260;686;3946
14.1.2021;3362;702;4064
15.1.2021;3417;706;4123
16.1.2021;3474;731;4205
17.1.2021;3526;752;4278
18.1.2021;3637;779;4416
19.1.2021;3737;786;4523
20.1.2021;3801;812;4613
21.1.2021;3894;828;4722
22.1.2021;3965;851;4816
23.1.2021;4068;877;4945
24.1.2021;4145;892;5037
25.1.2021;4260;904;5164
26.1.2021;4361;927;5288
27.1.2021;4411;946;5357
28.1.2021;4495;973;5468
29.1.2021;4565;996;5561
30.1.2021;4642;1032;5674
31.1.2021;4711;1044;5755
1.2.2021;4784;1075;5859
2.2.2021;4889;1082;5971
3.2.2021;4976;1087;6063
4.2.2021;5050;1089;6139
5.2.2021;5135;1116;6251
6.2.2021;5199;1147;6346
7.2.2021;5271;1152;6423
8.2.2021;5382;1189;6571
9.2.2021;5502;1205;6707
10.2.2021;5629;1213;6842
11.2.2021;5733;1221;6954
12.2.2021;5812;1224;7036
13.2.2021;5885;1239;7124
14.2.2021;5952;1249;7201
