"";"Date";"Vaccinated";"age_group";"Admissions";"Discharges"
"1";2022-09-18;NA;NA;0;0
"2";2022-09-17;NA;NA;0;0
"3";2022-09-16;NA;NA;0;0
"4";2022-09-15;FALSE;70;1;0
"5";2022-09-15;TRUE;70;1;0
"6";2022-09-15;TRUE;80;1;0
"7";2022-09-15;NA;80;1;0
"8";2022-09-14;FALSE;0;1;1
"9";2022-09-14;FALSE;30;1;0
"10";2022-09-14;TRUE;30;0;1
"11";2022-09-14;FALSE;50;1;0
"12";2022-09-14;TRUE;50;1;0
"13";2022-09-14;FALSE;60;0;1
"14";2022-09-14;TRUE;60;2;0
"15";2022-09-14;NA;60;1;0
"16";2022-09-14;FALSE;70;2;2
"17";2022-09-14;TRUE;70;2;0
"18";2022-09-14;NA;70;1;0
"19";2022-09-14;FALSE;80;0;1
"20";2022-09-14;TRUE;80;3;1
"21";2022-09-14;FALSE;90;1;0
"22";2022-09-13;FALSE;0;2;2
"23";2022-09-13;FALSE;30;2;2
"24";2022-09-13;TRUE;30;1;0
"25";2022-09-13;FALSE;40;0;1
"26";2022-09-13;FALSE;60;1;0
"27";2022-09-13;TRUE;60;1;1
"28";2022-09-13;FALSE;70;1;2
"29";2022-09-13;TRUE;70;2;1
"30";2022-09-13;NA;70;2;1
"31";2022-09-13;FALSE;80;1;1
"32";2022-09-13;TRUE;80;0;3
"33";2022-09-13;NA;80;0;1
"34";2022-09-13;TRUE;90;1;0
"35";2022-09-12;FALSE;0;5;3
"36";2022-09-12;NA;30;0;1
"37";2022-09-12;TRUE;50;1;0
"38";2022-09-12;FALSE;70;0;3
"39";2022-09-12;TRUE;70;0;1
"40";2022-09-12;FALSE;80;0;2
"41";2022-09-12;TRUE;80;1;2
"42";2022-09-12;NA;80;1;0
"43";2022-09-12;TRUE;90;1;2
"44";2022-09-12;NA;90;2;0
"45";2022-09-11;FALSE;0;2;1
"46";2022-09-11;FALSE;10;0;1
"47";2022-09-11;TRUE;10;0;1
"48";2022-09-11;FALSE;20;1;1
"49";2022-09-11;FALSE;30;0;1
"50";2022-09-11;TRUE;30;2;0
"51";2022-09-11;NA;30;1;0
"52";2022-09-11;FALSE;40;0;1
"53";2022-09-11;FALSE;50;0;1
"54";2022-09-11;TRUE;50;1;2
"55";2022-09-11;FALSE;60;3;2
"56";2022-09-11;TRUE;60;2;1
"57";2022-09-11;NA;60;1;0
"58";2022-09-11;FALSE;70;3;2
"59";2022-09-11;TRUE;70;2;4
"60";2022-09-11;NA;70;1;2
"61";2022-09-11;FALSE;80;3;1
"62";2022-09-11;TRUE;80;8;5
"63";2022-09-11;NA;80;0;1
"64";2022-09-11;FALSE;90;1;2
"65";2022-09-10;FALSE;0;0;3
"66";2022-09-10;FALSE;20;0;2
"67";2022-09-10;FALSE;30;3;0
"68";2022-09-10;TRUE;30;2;0
"69";2022-09-10;FALSE;50;0;2
"70";2022-09-10;TRUE;50;1;0
"71";2022-09-10;FALSE;60;1;2
"72";2022-09-10;TRUE;60;4;2
"73";2022-09-10;FALSE;70;4;2
"74";2022-09-10;TRUE;70;4;1
"75";2022-09-10;NA;70;4;0
"76";2022-09-10;FALSE;80;3;2
"77";2022-09-10;TRUE;80;3;0
"78";2022-09-10;FALSE;90;1;1
"79";2022-09-10;TRUE;90;3;0
"80";2022-09-10;NA;90;2;1
"81";2022-09-09;FALSE;0;7;5
"82";2022-09-09;NA;0;0;1
"83";2022-09-09;FALSE;10;1;0
"84";2022-09-09;FALSE;20;0;1
"85";2022-09-09;TRUE;20;1;2
"86";2022-09-09;FALSE;30;0;1
"87";2022-09-09;NA;30;1;0
"88";2022-09-09;FALSE;40;1;0
"89";2022-09-09;TRUE;40;0;2
"90";2022-09-09;NA;40;0;1
"91";2022-09-09;FALSE;50;2;0
"92";2022-09-09;TRUE;50;1;0
"93";2022-09-09;FALSE;60;2;0
"94";2022-09-09;TRUE;60;2;0
"95";2022-09-09;NA;60;2;0
"96";2022-09-09;FALSE;70;3;2
"97";2022-09-09;TRUE;70;3;2
"98";2022-09-09;NA;70;0;1
"99";2022-09-09;FALSE;80;3;1
"100";2022-09-09;TRUE;80;3;1
"101";2022-09-09;NA;80;1;1
"102";2022-09-09;FALSE;90;0;1
"103";2022-09-09;TRUE;90;3;1
"104";2022-09-09;NA;90;0;1
"105";2022-09-08;FALSE;0;5;2
"106";2022-09-08;FALSE;10;1;0
"107";2022-09-08;FALSE;20;1;0
"108";2022-09-08;TRUE;30;3;1
"109";2022-09-08;NA;30;1;2
"110";2022-09-08;FALSE;40;2;1
"111";2022-09-08;TRUE;40;1;3
"112";2022-09-08;NA;40;0;1
"113";2022-09-08;FALSE;50;2;2
"114";2022-09-08;TRUE;50;0;2
"115";2022-09-08;NA;50;1;0
"116";2022-09-08;FALSE;60;1;7
"117";2022-09-08;TRUE;60;3;3
"118";2022-09-08;NA;60;1;2
"119";2022-09-08;FALSE;70;2;9
"120";2022-09-08;TRUE;70;11;7
"121";2022-09-08;NA;70;2;4
"122";2022-09-08;FALSE;80;5;10
"123";2022-09-08;TRUE;80;8;3
"124";2022-09-08;NA;80;2;2
"125";2022-09-08;FALSE;90;0;2
"126";2022-09-08;NA;90;0;1
"127";2022-09-07;FALSE;0;4;3
"128";2022-09-07;NA;0;1;0
"129";2022-09-07;FALSE;20;1;1
"130";2022-09-07;TRUE;20;3;0
"131";2022-09-07;NA;20;1;0
"132";2022-09-07;NA;30;0;1
"133";2022-09-07;FALSE;40;1;0
"134";2022-09-07;TRUE;40;1;1
"135";2022-09-07;NA;40;1;0
"136";2022-09-07;TRUE;50;3;0
"137";2022-09-07;NA;50;0;1
"138";2022-09-07;FALSE;60;3;3
"139";2022-09-07;TRUE;60;2;1
"140";2022-09-07;NA;60;0;3
"141";2022-09-07;FALSE;70;4;6
"142";2022-09-07;TRUE;70;6;1
"143";2022-09-07;NA;70;2;3
"144";2022-09-07;FALSE;80;4;3
"145";2022-09-07;TRUE;80;7;4
"146";2022-09-07;NA;80;3;6
"147";2022-09-07;TRUE;90;0;1
"148";2022-09-07;NA;90;1;0
"149";2022-09-06;FALSE;0;3;3
"150";2022-09-06;FALSE;10;0;2
"151";2022-09-06;TRUE;10;1;0
"152";2022-09-06;FALSE;20;3;2
"153";2022-09-06;TRUE;20;1;1
"154";2022-09-06;FALSE;30;0;1
"155";2022-09-06;TRUE;30;0;1
"156";2022-09-06;NA;30;1;2
"157";2022-09-06;FALSE;40;1;0
"158";2022-09-06;TRUE;40;1;1
"159";2022-09-06;NA;40;0;1
"160";2022-09-06;FALSE;50;0;1
