"";"Date";"Region";"Vaccinated";"Admissions";"Discharges";"age_group"
"1";2022-05-05;"Prešovský kraj";FALSE;1;0;30
"2";2022-05-05;"Nitriansky kraj";FALSE;1;0;60
"3";2022-05-05;"Bratislavský kraj";TRUE;1;0;80
"4";2022-05-04;"Bratislavský kraj";TRUE;1;0;10
"5";2022-05-04;"Prešovský kraj";FALSE;1;0;20
"6";2022-05-04;"Prešovský kraj";NA;1;0;30
"7";2022-05-04;"Trenčiansky kraj";TRUE;1;0;40
"8";2022-05-04;"Košický kraj";FALSE;1;0;50
"9";2022-05-04;"Košický kraj";TRUE;1;0;50
"10";2022-05-04;"Trenčiansky kraj";FALSE;1;0;50
"11";2022-05-04;"Banskobystrický kraj";FALSE;0;1;60
"12";2022-05-04;"Banskobystrický kraj";TRUE;1;0;60
"13";2022-05-04;"Prešovský kraj";TRUE;1;0;60
"14";2022-05-04;"Trnavský kraj";FALSE;1;0;60
"15";2022-05-04;"Žilinský kraj";FALSE;2;0;60
"16";2022-05-04;"Banskobystrický kraj";FALSE;1;0;70
"17";2022-05-04;"Bratislavský kraj";FALSE;1;0;70
"18";2022-05-04;"Bratislavský kraj";TRUE;1;0;70
"19";2022-05-04;"Prešovský kraj";FALSE;0;1;70
"20";2022-05-04;"Trnavský kraj";FALSE;1;0;70
"21";2022-05-04;"Banskobystrický kraj";FALSE;2;0;80
"22";2022-05-04;"Bratislavský kraj";FALSE;1;3;80
"23";2022-05-04;"Košický kraj";FALSE;1;1;80
"24";2022-05-04;"Nitriansky kraj";TRUE;1;0;80
"25";2022-05-04;"Prešovský kraj";TRUE;1;0;80
"26";2022-05-04;"Prešovský kraj";NA;1;0;80
"27";2022-05-04;"Žilinský kraj";FALSE;2;0;80
"28";2022-05-04;"Žilinský kraj";TRUE;1;0;80
"29";2022-05-04;"Bratislavský kraj";TRUE;0;1;90
"30";2022-05-04;"Prešovský kraj";FALSE;1;0;90
"31";2022-05-03;"Bratislavský kraj";FALSE;1;0;0
"32";2022-05-03;"Prešovský kraj";FALSE;0;1;0
"33";2022-05-03;"Košický kraj";FALSE;0;1;10
"34";2022-05-03;"Bratislavský kraj";TRUE;0;1;20
"35";2022-05-03;"Košický kraj";TRUE;0;1;20
"36";2022-05-03;"Bratislavský kraj";FALSE;0;1;30
"37";2022-05-03;"Košický kraj";FALSE;1;0;30
"38";2022-05-03;"Trnavský kraj";NA;0;1;30
"39";2022-05-03;"Žilinský kraj";FALSE;0;1;30
"40";2022-05-03;"Bratislavský kraj";FALSE;0;1;40
"41";2022-05-03;"Bratislavský kraj";TRUE;0;1;40
"42";2022-05-03;"Košický kraj";FALSE;0;1;40
"43";2022-05-03;"Košický kraj";TRUE;0;1;40
"44";2022-05-03;"Nitriansky kraj";FALSE;0;1;40
"45";2022-05-03;"Prešovský kraj";TRUE;1;0;40
"46";2022-05-03;"Žilinský kraj";FALSE;1;0;40
"47";2022-05-03;"Žilinský kraj";TRUE;1;0;40
"48";2022-05-03;"Žilinský kraj";NA;0;1;40
"49";2022-05-03;"Banskobystrický kraj";TRUE;0;1;50
"50";2022-05-03;"Bratislavský kraj";FALSE;2;1;50
"51";2022-05-03;"Nitriansky kraj";TRUE;1;0;50
"52";2022-05-03;"Prešovský kraj";FALSE;0;1;50
"53";2022-05-03;"Trenčiansky kraj";FALSE;1;0;50
"54";2022-05-03;"Žilinský kraj";NA;0;1;50
"55";2022-05-03;"Bratislavský kraj";FALSE;0;3;60
"56";2022-05-03;"Košický kraj";TRUE;2;1;60
"57";2022-05-03;"Nitriansky kraj";NA;0;1;60
"58";2022-05-03;"Prešovský kraj";FALSE;0;1;60
"59";2022-05-03;"Prešovský kraj";TRUE;1;1;60
"60";2022-05-03;"Prešovský kraj";NA;0;2;60
"61";2022-05-03;"Trenčiansky kraj";FALSE;2;0;60
"62";2022-05-03;"Trnavský kraj";TRUE;0;2;60
"63";2022-05-03;"Žilinský kraj";FALSE;1;1;60
"64";2022-05-03;"Banskobystrický kraj";FALSE;0;1;70
"65";2022-05-03;"Banskobystrický kraj";NA;0;1;70
"66";2022-05-03;"Bratislavský kraj";FALSE;3;0;70
"67";2022-05-03;"Bratislavský kraj";TRUE;0;2;70
"68";2022-05-03;"Košický kraj";FALSE;0;2;70
"69";2022-05-03;"Košický kraj";TRUE;2;1;70
"70";2022-05-03;"Nitriansky kraj";FALSE;0;1;70
"71";2022-05-03;"Nitriansky kraj";TRUE;1;2;70
"72";2022-05-03;"Prešovský kraj";FALSE;1;4;70
"73";2022-05-03;"Prešovský kraj";TRUE;1;0;70
"74";2022-05-03;"Trenčiansky kraj";FALSE;3;1;70
"75";2022-05-03;"Trnavský kraj";FALSE;0;1;70
"76";2022-05-03;"Trnavský kraj";TRUE;2;0;70
"77";2022-05-03;"Žilinský kraj";FALSE;1;1;70
"78";2022-05-03;"Žilinský kraj";NA;1;0;70
"79";2022-05-03;"Banskobystrický kraj";TRUE;1;0;80
"80";2022-05-03;"Bratislavský kraj";FALSE;0;1;80
"81";2022-05-03;"Košický kraj";FALSE;0;4;80
"82";2022-05-03;"Košický kraj";TRUE;0;2;80
"83";2022-05-03;"Nitriansky kraj";FALSE;1;1;80
"84";2022-05-03;"Nitriansky kraj";TRUE;1;0;80
"85";2022-05-03;"Prešovský kraj";FALSE;0;4;80
"86";2022-05-03;"Prešovský kraj";TRUE;0;3;80
"87";2022-05-03;"Prešovský kraj";NA;0;1;80
"88";2022-05-03;"Trenčiansky kraj";FALSE;1;0;80
"89";2022-05-03;"Trenčiansky kraj";NA;1;0;80
"90";2022-05-03;"Trnavský kraj";TRUE;0;1;80
"91";2022-05-03;"Žilinský kraj";FALSE;1;1;80
"92";2022-05-03;"Banskobystrický kraj";FALSE;0;1;90
"93";2022-05-03;"Bratislavský kraj";TRUE;0;1;90
"94";2022-05-03;"Nitriansky kraj";TRUE;0;1;90
"95";2022-05-03;"Prešovský kraj";FALSE;2;2;90
"96";2022-05-03;"Prešovský kraj";TRUE;1;0;90
"97";2022-05-03;"Žilinský kraj";FALSE;0;1;90
"98";2022-05-02;"Bratislavský kraj";FALSE;1;0;0
"99";2022-05-02;"Nitriansky kraj";FALSE;0;1;0
"100";2022-05-02;"Prešovský kraj";FALSE;0;2;0
"101";2022-05-02;"Žilinský kraj";FALSE;1;1;0
"102";2022-05-02;"Trenčiansky kraj";NA;1;0;10
"103";2022-05-02;"Žilinský kraj";FALSE;1;1;10
"104";2022-05-02;"Žilinský kraj";TRUE;1;1;10
"105";2022-05-02;"Bratislavský kraj";TRUE;1;0;20
"106";2022-05-02;"Žilinský kraj";FALSE;1;1;20
"107";2022-05-02;"Žilinský kraj";TRUE;1;0;20
"108";2022-05-02;"Banskobystrický kraj";FALSE;0;1;30
"109";2022-05-02;"Bratislavský kraj";FALSE;1;0;30
"110";2022-05-02;"Košický kraj";FALSE;0;1;30
"111";2022-05-02;"Košický kraj";TRUE;1;0;30
"112";2022-05-02;"Nitriansky kraj";TRUE;0;1;30
"113";2022-05-02;"Prešovský kraj";TRUE;0;1;30
"114";2022-05-02;"Trenčiansky kraj";FALSE;0;1;30
"115";2022-05-02;"Trenčiansky kraj";NA;1;0;30
"116";2022-05-02;"Žilinský kraj";FALSE;0;1;30
"117";2022-05-02;"Banskobystrický kraj";FALSE;0;1;40
"118";2022-05-02;"Košický kraj";FALSE;0;2;40
"119";2022-05-02;"Košický kraj";TRUE;0;1;40
"120";2022-05-02;"Trenčiansky kraj";TRUE;0;1;40
"121";2022-05-02;"Trenčiansky kraj";NA;0;1;40
"122";2022-05-02;"Trnavský kraj";FALSE;0;1;40
"123";2022-05-02;"Žilinský kraj";TRUE;1;0;40
"124";2022-05-02;"Banskobystrický kraj";TRUE;0;1;50
"125";2022-05-02;"Košický kraj";FALSE;1;0;50
"126";2022-05-02;"Prešovský kraj";TRUE;1;1;50
"127";2022-05-02;"Trenčiansky kraj";TRUE;1;0;50
"128";2022-05-02;"Trnavský kraj";TRUE;0;1;50
"129";2022-05-02;"Bratislavský kraj";TRUE;0;2;60
"130";2022-05-02;"Košický kraj";FALSE;1;2;60
"131";2022-05-02;"Košický kraj";TRUE;0;1;60
"132";2022-05-02;"Košický kraj";NA;0;1;60
"133";2022-05-02;"Nitriansky kraj";FALSE;0;2;60
"134";2022-05-02;"Prešovský kraj";FALSE;0;2;60
"135";2022-05-02;"Prešovský kraj";TRUE;1;2;60
"136";2022-05-02;"Prešovský kraj";NA;1;0;60
"137";2022-05-02;"Trenčiansky kraj";FALSE;0;1;60
"138";2022-05-02;"Žilinský kraj";FALSE;0;3;60
"139";2022-05-02;"Žilinský kraj";TRUE;1;0;60
"140";2022-05-02;"Banskobystrický kraj";FALSE;0;1;70
"141";2022-05-02;"Banskobystrický kraj";TRUE;1;1;70
"142";2022-05-02;"Bratislavský kraj";FALSE;2;5;70
"143";2022-05-02;"Bratislavský kraj";TRUE;0;3;70
"144";2022-05-02;"Košický kraj";FALSE;3;1;70
"145";2022-05-02;"Košický kraj";TRUE;0;1;70
"146";2022-05-02;"Nitriansky kraj";FALSE;0;1;70
"147";2022-05-02;"Nitriansky kraj";NA;0;1;70
"148";2022-05-02;"Prešovský kraj";FALSE;2;1;70
"149";2022-05-02;"Prešovský kraj";TRUE;0;5;70
"150";2022-05-02;"Trenčiansky kraj";FALSE;1;3;70
"151";2022-05-02;"Trenčiansky kraj";TRUE;0;1;70
"152";2022-05-02;"Trenčiansky kraj";NA;1;0;70
"153";2022-05-02;"Trnavský kraj";FALSE;1;1;70
"154";2022-05-02;"Trnavský kraj";TRUE;0;2;70
"155";2022-05-02;"Žilinský kraj";FALSE;0;4;70
"156";2022-05-02;"Žilinský kraj";TRUE;1;2;70
"157";2022-05-02;"Banskobystrický kraj";FALSE;1;4;80
