"";"Date";"Vaccinated";"age_group";"Admissions";"Discharges"
"1";2021-12-26;NA;NA;0;0
"2";2021-12-25;FALSE;70;1;1
"3";2021-12-25;TRUE;70;1;0
"4";2021-12-24;TRUE;30;1;0
"5";2021-12-24;FALSE;40;1;1
"6";2021-12-24;FALSE;60;1;0
"7";2021-12-24;FALSE;70;1;0
"8";2021-12-23;FALSE;10;1;1
"9";2021-12-23;FALSE;40;2;0
"10";2021-12-23;FALSE;50;2;0
"11";2021-12-23;FALSE;60;3;0
"12";2021-12-23;FALSE;70;4;1
"13";2021-12-22;FALSE;30;1;1
"14";2021-12-22;NA;30;0;1
"15";2021-12-22;FALSE;40;3;2
"16";2021-12-22;FALSE;50;4;3
"17";2021-12-22;FALSE;60;2;1
"18";2021-12-22;TRUE;60;0;1
"19";2021-12-22;NA;60;1;0
"20";2021-12-22;FALSE;70;3;0
"21";2021-12-22;TRUE;70;1;0
"22";2021-12-22;NA;80;1;1
"23";2021-12-21;FALSE;30;0;1
"24";2021-12-21;NA;30;1;0
"25";2021-12-21;FALSE;40;1;1
"26";2021-12-21;FALSE;50;7;11
"27";2021-12-21;NA;50;0;1
"28";2021-12-21;FALSE;60;4;7
"29";2021-12-21;TRUE;60;1;3
"30";2021-12-21;FALSE;70;4;1
"31";2021-12-21;TRUE;70;1;0
"32";2021-12-21;FALSE;90;0;1
"33";2021-12-21;NA;90;1;1
"34";2021-12-21;FALSE;990;0;1
"35";2021-12-20;FALSE;30;0;1
"36";2021-12-20;FALSE;40;0;1
"37";2021-12-20;TRUE;40;0;1
"38";2021-12-20;FALSE;50;3;7
"39";2021-12-20;TRUE;50;0;1
"40";2021-12-20;FALSE;60;3;8
"41";2021-12-20;TRUE;60;0;1
"42";2021-12-20;NA;60;0;1
"43";2021-12-20;FALSE;70;0;3
"44";2021-12-20;FALSE;990;0;2
"45";2021-12-19;FALSE;40;1;2
"46";2021-12-19;FALSE;50;1;2
"47";2021-12-19;NA;50;1;0
"48";2021-12-19;FALSE;60;1;5
"49";2021-12-19;TRUE;60;1;3
"50";2021-12-19;FALSE;70;0;6
"51";2021-12-19;TRUE;70;0;1
"52";2021-12-19;FALSE;990;0;1
"53";2021-12-18;FALSE;20;1;0
"54";2021-12-18;FALSE;40;2;2
"55";2021-12-18;FALSE;50;7;2
"56";2021-12-18;TRUE;50;1;1
"57";2021-12-18;FALSE;60;9;6
"58";2021-12-18;TRUE;60;3;1
"59";2021-12-18;FALSE;70;0;4
"60";2021-12-18;TRUE;70;1;0
"61";2021-12-18;FALSE;80;0;1
"62";2021-12-18;FALSE;990;0;1
"63";2021-12-18;FALSE;NA;3;0
"64";2021-12-17;TRUE;20;1;1
"65";2021-12-17;NA;20;0;1
"66";2021-12-17;FALSE;40;1;0
"67";2021-12-17;FALSE;50;7;6
"68";2021-12-17;TRUE;50;0;2
"69";2021-12-17;FALSE;60;8;14
"70";2021-12-17;TRUE;60;1;0
"71";2021-12-17;FALSE;70;1;2
"72";2021-12-17;NA;70;1;0
"73";2021-12-17;TRUE;80;0;1
"74";2021-12-17;FALSE;NA;1;0
"75";2021-12-16;FALSE;20;0;1
"76";2021-12-16;TRUE;20;1;0
"77";2021-12-16;FALSE;30;3;1
"78";2021-12-16;FALSE;40;3;3
"79";2021-12-16;FALSE;50;7;7
"80";2021-12-16;NA;50;0;1
"81";2021-12-16;FALSE;60;7;7
"82";2021-12-16;TRUE;60;1;0
"83";2021-12-16;NA;60;1;0
"84";2021-12-16;FALSE;70;1;1
"85";2021-12-16;TRUE;70;1;2
"86";2021-12-16;FALSE;80;1;0
"87";2021-12-16;TRUE;80;1;1
"88";2021-12-15;FALSE;20;0;1
"89";2021-12-15;NA;20;1;0
"90";2021-12-15;FALSE;30;3;1
"91";2021-12-15;TRUE;30;0;1
"92";2021-12-15;FALSE;40;3;2
"93";2021-12-15;FALSE;50;4;7
"94";2021-12-15;TRUE;50;0;2
"95";2021-12-15;FALSE;60;10;9
"96";2021-12-15;TRUE;60;0;1
"97";2021-12-15;NA;60;1;0
"98";2021-12-15;FALSE;70;6;5
"99";2021-12-15;TRUE;70;0;1
"100";2021-12-15;FALSE;80;0;1
"101";2021-12-15;FALSE;90;0;1
"102";2021-12-14;FALSE;30;1;0
"103";2021-12-14;TRUE;30;0;1
