Platne od,Code,Okres,RUVZ,Kraj,Pocet_Obyvatelov,PrÌpady_7d_EPIS,Pozit_7d_PCR,Pozit_7d_Ag,Pozit_Nad65r,7d_Incidencia_aktual,7d_incidenica_T-1, Zmena_7d_incidencia ,Vazena_Incidencia,Pozitivita_PCR,Pozitivita_Ag,Zaockovanost_Aspon1,Zaockovanost_Plna,Zaockovanost_Nad50r_Plna,RUVZ_Hodnotenie,Covid_Automat,Faza,Komunitne_sirenie,Perc.do18r,Opatrenia,Stupen,éolÌk,Farba
11/22/2021,41,B·novce nad Bebravou,TrenËÌn,TN,"36,282",295,292,244,35,805,529,2,681,28.80%,9.36%,43.70%,42.40%,61.20%,5,5,Rast,Veæmi vysok·,20%,https://automat.gov.sk/banovce-nad-bebravou,III. stupeÚ ohrozenia,669,#000000
11/22/2021,32,Bansk· Bystrica,Bansk· Bystrica,BB,"110,829",1438,1432,187,152,1292,1107,1,1060,38.29%,3.91%,50.30%,48.80%,64.80%,5,5,Rast,Veæmi vysok·,22%,https://automat.gov.sk/banska-bystrica,III. stupeÚ ohrozenia,394,#000000
11/22/2021,31,Bansk· ätiavnica,éiar nad Hronom,BB,"16,086",151,138,10,5,858,348,2,799,36.51%,18.75%,45.20%,43.50%,60.80%,5,5,Rast,Veæmi vysok·,19%,https://automat.gov.sk/banska-stiavnica,III. stupeÚ ohrozenia,270,#000000
11/22/2021,5,Bardejov,Bardejov,PR,"77,771",595,542,192,75,697,672,1,636,36.66%,5.45%,41.60%,39.80%,62.20%,5,5,Rast,Veæmi vysok·,21%,https://automat.gov.sk/bardejov,III. stupeÚ ohrozenia,1038,#000000
11/22/2021,64,Bratislava I,Bratislava,BA,"41,095",3300,3178,1214,340,734,582,1,617,19.61%,4.71%,65.60%,63.80%,77.30%,4,3,Rast,Veæmi vysok·,24%,https://automat.gov.sk/bratislava,I. stupeÚ ohrozenia,13301,#E40017
11/22/2021,68,Bratislava II,Bratislava,BA,"115,653",3300,3178,1214,340,734,582,1,617,19.61%,4.71%,65.60%,63.80%,77.30%,4,3,Rast,Veæmi vysok·,24%,https://automat.gov.sk/bratislava,I. stupeÚ ohrozenia,13301,#E40017
11/22/2021,67,Bratislava III,Bratislava,BA,"67,913",3300,3178,1214,340,734,582,1,617,19.61%,4.71%,65.60%,63.80%,77.30%,4,3,Rast,Veæmi vysok·,24%,https://automat.gov.sk/bratislava,I. stupeÚ ohrozenia,13301,#E40017
11/22/2021,66,Bratislava IV,Bratislava,BA,"97,261",3300,3178,1214,340,734,582,1,617,19.61%,4.71%,65.60%,63.80%,77.30%,4,3,Rast,Veæmi vysok·,24%,https://automat.gov.sk/bratislava,I. stupeÚ ohrozenia,13301,#E40017
11/22/2021,65,Bratislava V,Bratislava,BA,"110,942",3300,3178,1214,340,734,582,1,617,19.61%,4.71%,65.60%,63.80%,77.30%,4,3,Rast,Veæmi vysok·,24%,https://automat.gov.sk/bratislava,I. stupeÚ ohrozenia,13301,#E40017
11/22/2021,28,Brezno,Bansk· Bystrica,BB,"61,450",651,571,166,56,1143,872,1,865,41.51%,11.85%,38.30%,36.90%,55.20%,5,5,Rast,Veæmi vysok·,23%,https://automat.gov.sk/brezno,III. stupeÚ ohrozenia,2469,#000000
11/22/2021,25,BytËa,éilina,ZA,"30,917",214,222,51,28,718,385,2,625,31.39%,16.04%,42.70%,41.20%,58.60%,5,5,Rast,Veæmi vysok·,17%,https://automat.gov.sk/bytca,III. stupeÚ ohrozenia,796,#000000
11/22/2021,59,»adca,»adca,ZA,"90,080",824,612,231,48,679,608,1,769,46.29%,7.71%,39.00%,37.40%,52.20%,5,5,Rast,Veæmi vysok·,20%,https://automat.gov.sk/cadca,III. stupeÚ ohrozenia,4177,#000000
11/22/2021,69,Detva,Zvolen,BB,"32,051",452,427,129,61,1332,1267,1,1176,41.18%,8.39%,37.30%,36.10%,50.70%,5,5,Rast,Veæmi vysok·,21%,https://automat.gov.sk/detva,III. stupeÚ ohrozenia,1825,#000000
11/22/2021,55,Doln˝ KubÌn,Doln˝ KubÌn,ZA,"39,457",287,287,152,31,727,471,2,602,32.55%,10.28%,48.40%,46.20%,66.10%,4,4,Rast,Veæmi vysok·,22%,https://automat.gov.sk/dolny-kubin,II. stupeÚ ohrozenia,30,#830029
11/22/2021,13,Dunajsk· Streda,Dunajsk· Streda,TT,"122,358",667,591,190,39,483,305,2,401,19.77%,6.16%,57.60%,55.90%,76.40%,4,3,Rast,Veæmi vysok·,33%,https://automat.gov.sk/dunajska-streda,I. stupeÚ ohrozenia,146,#E40017
