"Date";"District";"Ag_Neg";"Ag_Pos";"Total"
2020-10-11;"Okres Bánovce nad Bebravou";0;0;0
2020-10-11;"Okres Ilava";0;0;0
2020-10-12;"Okres Bánovce nad Bebravou";0;0;0
2020-10-12;"Okres Banská Bystrica";13;0;13
2020-10-12;"Okres Bardejov";60;15;75
2020-10-12;"Okres Dolný Kubín";0;0;0
2020-10-12;"Okres Galanta";0;0;0
2020-10-12;"Okres Humenné";0;0;0
2020-10-12;"Okres Košice I";0;0;0
2020-10-12;"Okres Košice IV";0;0;0
2020-10-12;"Okres Liptovský Mikuláš";0;0;0
2020-10-12;"Okres Michalovce";0;0;0
2020-10-12;"Okres Myjava";0;0;0
2020-10-12;"Okres Partizánske";0;0;0
2020-10-12;"Okres Piešťany";41;1;42
2020-10-12;"Okres Poprad";274;20;294
2020-10-12;"Okres Prievidza";0;0;0
2020-10-12;"Okres Revúca";1;0;1
2020-10-12;"Okres Rimavská Sobota";0;0;0
2020-10-12;"Okres Rožňava";0;0;0
2020-10-12;"Okres Spišská Nová Ves";0;0;0
2020-10-12;"Okres Zvolen";96;4;100
2020-10-12;"Okres Žiar nad Hronom";0;0;0
2020-10-13;"Okres Banská Bystrica";13;2;15
2020-10-13;"Okres Bratislava I";0;0;0
2020-10-13;"Okres Bratislava II";14;0;14
2020-10-13;"Okres Bratislava III";94;8;103
2020-10-13;"Okres Bratislava V";0;0;0
2020-10-13;"Okres Čadca";0;0;0
2020-10-13;"Okres Dolný Kubín";349;36;385
2020-10-13;"Okres Galanta";0;0;0
2020-10-13;"Okres Humenné";0;0;0
2020-10-13;"Okres Ilava";0;0;0
2020-10-13;"Okres Komárno";0;0;0
2020-10-13;"Okres Košice I";0;0;0
2020-10-13;"Okres Košice II";1;0;1
2020-10-13;"Okres Košice IV";3;0;3
2020-10-13;"Okres Liptovský Mikuláš";0;0;0
2020-10-13;"Okres Lučenec";11;1;12
2020-10-13;"Okres Michalovce";76;3;81
2020-10-13;"Okres Nitra";82;2;84
2020-10-13;"Okres Piešťany";3;0;3
2020-10-13;"Okres Poprad";50;6;56
2020-10-13;"Okres Prievidza";94;12;106
2020-10-13;"Okres Revúca";3;0;3
2020-10-13;"Okres Rimavská Sobota";0;0;0
2020-10-13;"Okres Ružomberok";0;0;0
2020-10-13;"Okres Skalica";13;2;15
2020-10-13;"Okres Sobrance";0;0;0
2020-10-13;"Okres Spišská Nová Ves";0;0;0
2020-10-13;"Okres Topoľčany";0;0;0
2020-10-13;"Okres Trebišov";0;0;0
2020-10-13;"Okres Trenčín";11;0;11
2020-10-13;"Okres Tvrdošín";0;0;0
2020-10-13;"Okres Zvolen";142;8;150
2020-10-13;"Okres Žiar nad Hronom";0;0;0
2020-10-13;"Okres Žilina";109;4;113
2020-10-14;"Okres Banská Bystrica";3;1;4
2020-10-14;"Okres Banská Štiavnica";0;0;0
2020-10-14;"Okres Bardejov";20;5;25
