"";"datum";"district";"region";"covid";"pocet"
"1";2021-01-18;"Bánovce nad Bebravou";"Trenčiansky";"covid";1
"2";2021-01-18;"Bánovce nad Bebravou";"Trenčiansky";"non_covid";7
"3";2021-01-18;"Banská Bystrica";"Banskobystrický";"covid";2
"4";2021-01-18;"Banská Bystrica";"Banskobystrický";"non_covid";20
"5";2021-01-18;"Banská Štiavnica";"Banskobystrický";"covid";1
"6";2021-01-18;"Banská Štiavnica";"Banskobystrický";"non_covid";2
"7";2021-01-18;"Bardejov";"Prešovský";"covid";1
"8";2021-01-18;"Bardejov";"Prešovský";"non_covid";12
"9";2021-01-18;"Bratislava I";"Bratislavský";"covid";2
"10";2021-01-18;"Bratislava I";"Bratislavský";"non_covid";8
"11";2021-01-18;"Bratislava II";"Bratislavský";"covid";11
"12";2021-01-18;"Bratislava II";"Bratislavský";"non_covid";15
"13";2021-01-18;"Bratislava III";"Bratislavský";"covid";7
"14";2021-01-18;"Bratislava III";"Bratislavský";"non_covid";19
"15";2021-01-18;"Bratislava IV";"Bratislavský";"covid";13
"16";2021-01-18;"Bratislava IV";"Bratislavský";"non_covid";22
"17";2021-01-18;"Bratislava V";"Bratislavský";"covid";5
"18";2021-01-18;"Bratislava V";"Bratislavský";"non_covid";24
"19";2021-01-18;"Brezno";"Banskobystrický";"covid";2
"20";2021-01-18;"Brezno";"Banskobystrický";"non_covid";13
"21";2021-01-18;"Bytča";"Žilinský";"covid";2
"22";2021-01-18;"Bytča";"Žilinský";"non_covid";5
"23";2021-01-18;"Čadca";"Žilinský";"covid";5
"24";2021-01-18;"Čadca";"Žilinský";"non_covid";17
"25";2021-01-18;"Detva";"Banskobystrický";"covid";2
"26";2021-01-18;"Detva";"Banskobystrický";"non_covid";2
"27";2021-01-18;"Dolný Kubín";"Žilinský";"non_covid";4
"28";2021-01-18;"Dunajská Streda";"Trnavský";"covid";10
"29";2021-01-18;"Dunajská Streda";"Trnavský";"non_covid";27
"30";2021-01-18;"Galanta";"Trnavský";"covid";9
"31";2021-01-18;"Galanta";"Trnavský";"non_covid";38
"32";2021-01-18;"Gelnica";"Košický";"covid";1
"33";2021-01-18;"Gelnica";"Košický";"non_covid";12
"34";2021-01-18;"Hlohovec";"Trnavský";"covid";2
"35";2021-01-18;"Hlohovec";"Trnavský";"non_covid";9
"36";2021-01-18;"Humenné";"Prešovský";"covid";1
"37";2021-01-18;"Humenné";"Prešovský";"non_covid";9
"38";2021-01-18;"Ilava";"Trenčiansky";"non_covid";16
"39";2021-01-18;"Kežmarok";"Prešovský";"covid";2
"40";2021-01-18;"Kežmarok";"Prešovský";"non_covid";15
"41";2021-01-18;"Komárno";"Nitriansky";"covid";10
"42";2021-01-18;"Komárno";"Nitriansky";"non_covid";14
"43";2021-01-18;"Košice - okolie";"Košický";"covid";8
