"Datum";"Region";"PCR_Pos";"Ag_Neg";"Ag_Pos";"Total";"Pocet.potvrdenych";"Potvrdenych";"newcases";"date";"positive"
2021-01-31;"Banskobystrický kraj";34;20914;207;21121;22782;42567;241;2021-01-31;42567
2021-01-30;"Banskobystrický kraj";163;38893;352;39245;NA;42567;515;2021-01-30;42326
2021-01-29;"Banskobystrický kraj";130;13812;238;14050;NA;42567;368;2021-01-29;41811
2021-01-28;"Banskobystrický kraj";218;13970;340;14310;NA;42567;558;2021-01-28;41443
2021-01-27;"Banskobystrický kraj";191;10749;197;10946;NA;42567;388;2021-01-27;40885
2021-01-26;"Banskobystrický kraj";238;19759;287;20046;NA;42567;525;2021-01-26;40497
2021-01-25;"Banskobystrický kraj";82;33630;374;34004;NA;42567;456;2021-01-25;39972
2021-01-24;"Banskobystrický kraj";38;26765;227;26992;NA;42567;265;2021-01-24;39516
2021-01-23;"Banskobystrický kraj";142;76202;484;76686;NA;42567;626;2021-01-23;39251
2021-01-22;"Banskobystrický kraj";175;26943;341;27284;NA;42567;516;2021-01-22;38625
2021-01-21;"Banskobystrický kraj";194;15798;357;16155;NA;42567;551;2021-01-21;38109
2021-01-20;"Banskobystrický kraj";231;9189;187;9376;NA;42567;418;2021-01-20;37558
2021-01-19;"Banskobystrický kraj";213;10959;332;11291;NA;42567;545;2021-01-19;37140
2021-01-18;"Banskobystrický kraj";94;6732;330;7062;NA;42567;424;2021-01-18;36595
2021-01-17;"Banskobystrický kraj";110;7638;67;7705;NA;42567;177;2021-01-17;36171
2021-01-16;"Banskobystrický kraj";58;1873;56;1929;NA;42567;114;2021-01-16;35994
2021-01-15;"Banskobystrický kraj";164;6233;202;6435;NA;42567;366;2021-01-15;35880
2021-01-14;"Banskobystrický kraj";220;5466;317;5783;NA;42567;537;2021-01-14;35514
2021-01-13;"Banskobystrický kraj";235;5602;190;5792;NA;42567;425;2021-01-13;34977
2021-01-12;"Banskobystrický kraj";194;6256;425;6681;NA;42567;619;2021-01-12;34552
2021-01-11;"Banskobystrický kraj";76;6992;409;7401;NA;42567;485;2021-01-11;33933
2021-01-10;"Banskobystrický kraj";110;66;1;67;NA;42567;111;2021-01-10;33448
2021-01-09;"Banskobystrický kraj";297;2726;105;2831;NA;42567;402;2021-01-09;33337
2021-01-08;"Banskobystrický kraj";435;8110;387;8497;NA;42567;822;2021-01-08;32935
2021-01-07;"Banskobystrický kraj";127;4034;262;4296;NA;42567;389;2021-01-07;32113
2021-01-06;"Banskobystrický kraj";305;3335;205;3540;NA;42567;510;2021-01-06;31724
2021-01-05;"Banskobystrický kraj";372;6464;494;6958;NA;42567;866;2021-01-05;31214
2021-01-04;"Banskobystrický kraj";130;5668;565;6233;NA;42567;695;2021-01-04;30348
2021-01-03;"Banskobystrický kraj";199;174;13;187;NA;42567;212;2021-01-03;29653
2021-01-02;"Banskobystrický kraj";123;571;83;654;NA;42567;206;2021-01-02;29441
2021-01-01;"Banskobystrický kraj";220;2015;135;2150;NA;42567;355;2021-01-01;29235
2020-12-31;"Banskobystrický kraj";499;6796;724;7520;NA;42567;1223;2020-12-31;28880
2020-12-30;"Banskobystrický kraj";593;7101;536;7637;NA;42567;1129;2020-12-30;27657
2020-12-29;"Banskobystrický kraj";240;7590;738;8328;NA;42567;978;2020-12-29;26528
2020-12-28;"Banskobystrický kraj";131;5575;674;6249;NA;42567;805;2020-12-28;25550
2020-12-27;"Banskobystrický kraj";116;496;25;521;NA;42567;141;2020-12-27;24745
2020-12-26;"Banskobystrický kraj";61;259;32;291;NA;42567;93;2020-12-26;24604
2020-12-25;"Banskobystrický kraj";65;229;6;235;NA;42567;71;2020-12-25;24511
2020-12-24;"Banskobystrický kraj";452;3674;135;3809;NA;42567;587;2020-12-24;24440
2020-12-23;"Banskobystrický kraj";368;9388;470;9858;NA;42567;838;2020-12-23;23853
2020-12-22;"Banskobystrický kraj";307;8300;624;8924;NA;42567;931;2020-12-22;23015
2020-12-21;"Banskobystrický kraj";286;4898;448;5346;NA;42567;734;2020-12-21;22084
2020-12-20;"Banskobystrický kraj";155;99;14;113;NA;42567;169;2020-12-20;21350
2020-12-19;"Banskobystrický kraj";170;2488;565;3053;NA;42567;735;2020-12-19;21181
2020-12-18;"Banskobystrický kraj";432;6454;414;6868;NA;42567;846;2020-12-18;20446
2020-12-17;"Banskobystrický kraj";468;8474;772;9246;NA;42567;1240;2020-12-17;19600
2020-12-16;"Banskobystrický kraj";379;10080;557;10637;NA;42567;936;2020-12-16;18360
2020-12-15;"Banskobystrický kraj";336;5318;430;5748;NA;42567;766;2020-12-15;17424
2020-12-14;"Banskobystrický kraj";148;3733;259;3992;NA;42567;407;2020-12-14;16658
2020-12-13;"Banskobystrický kraj";122;19;1;20;NA;42567;123;2020-12-13;16251
2020-12-12;"Banskobystrický kraj";137;2594;138;2732;NA;42567;275;2020-12-12;16128
