"date";"Region";"newcases";"positive"
2021-01-21;"Banskobystrický kraj";495;38093
2021-01-20;"Banskobystrický kraj";407;37598
2021-01-19;"Banskobystrický kraj";516;37191
2021-01-18;"Banskobystrický kraj";390;36675
2021-01-17;"Banskobystrický kraj";177;36285
2021-01-16;"Banskobystrický kraj";114;36108
2021-01-15;"Banskobystrický kraj";366;35994
2021-01-14;"Banskobystrický kraj";537;35628
2021-01-13;"Banskobystrický kraj";429;35091
2021-01-12;"Banskobystrický kraj";619;34662
2021-01-11;"Banskobystrický kraj";485;34043
2021-01-10;"Banskobystrický kraj";111;33558
2021-01-09;"Banskobystrický kraj";402;33447
2021-01-08;"Banskobystrický kraj";822;33045
2021-01-07;"Banskobystrický kraj";389;32223
2021-01-06;"Banskobystrický kraj";510;31834
2021-01-05;"Banskobystrický kraj";866;31324
2021-01-04;"Banskobystrický kraj";695;30458
2021-01-03;"Banskobystrický kraj";212;29763
2021-01-02;"Banskobystrický kraj";206;29551
2021-01-01;"Banskobystrický kraj";355;29345
2020-12-31;"Banskobystrický kraj";1223;28990
2020-12-30;"Banskobystrický kraj";1129;27767
2020-12-29;"Banskobystrický kraj";978;26638
2020-12-28;"Banskobystrický kraj";805;25660
2020-12-27;"Banskobystrický kraj";141;24855
2020-12-26;"Banskobystrický kraj";93;24714
2020-12-25;"Banskobystrický kraj";71;24621
2020-12-24;"Banskobystrický kraj";587;24550
2020-12-23;"Banskobystrický kraj";838;23963
2020-12-22;"Banskobystrický kraj";931;23125
2020-12-21;"Banskobystrický kraj";734;22194
2020-12-20;"Banskobystrický kraj";169;21460
2020-12-19;"Banskobystrický kraj";735;21291
2020-12-18;"Banskobystrický kraj";846;20556
2020-12-17;"Banskobystrický kraj";1240;19710
2020-12-16;"Banskobystrický kraj";936;18470
2020-12-15;"Banskobystrický kraj";766;17534
2020-12-14;"Banskobystrický kraj";407;16768
2020-12-13;"Banskobystrický kraj";123;16361
2020-12-12;"Banskobystrický kraj";275;16238
2020-12-11;"Banskobystrický kraj";842;15963
2020-12-10;"Banskobystrický kraj";631;15121
2020-12-09;"Banskobystrický kraj";535;14490
2020-12-08;"Banskobystrický kraj";532;13955
2020-12-07;"Banskobystrický kraj";315;13423
2020-12-06;"Banskobystrický kraj";130;13108
2020-12-05;"Banskobystrický kraj";142;12978
2020-12-04;"Banskobystrický kraj";513;12836
2020-12-03;"Banskobystrický kraj";467;12323
2020-12-02;"Banskobystrický kraj";403;11856
2020-12-01;"Banskobystrický kraj";350;11453
2020-11-30;"Banskobystrický kraj";301;11103
2020-11-29;"Banskobystrický kraj";22;10802
2020-11-28;"Banskobystrický kraj";129;10780
2020-11-27;"Banskobystrický kraj";339;10651
2020-11-26;"Banskobystrický kraj";300;10312
2020-11-25;"Banskobystrický kraj";254;10012
2020-11-24;"Banskobystrický kraj";233;9758
2020-11-23;"Banskobystrický kraj";257;9525
2020-11-22;"Banskobystrický kraj";39;9268
2020-11-21;"Banskobystrický kraj";66;9229
2020-11-20;"Banskobystrický kraj";232;9163
2020-11-19;"Banskobystrický kraj";252;8931
2020-11-18;"Banskobystrický kraj";215;8679
2020-11-17;"Banskobystrický kraj";87;8464
2020-11-16;"Banskobystrický kraj";128;8377
2020-11-15;"Banskobystrický kraj";54;8249
2020-11-14;"Banskobystrický kraj";75;8195
2020-11-13;"Banskobystrický kraj";168;8120
2020-11-12;"Banskobystrický kraj";262;7952
2020-11-11;"Banskobystrický kraj";233;7690
2020-11-10;"Banskobystrický kraj";281;7457
2020-11-09;"Banskobystrický kraj";111;7176
2020-11-08;"Banskobystrický kraj";98;7065
2020-11-07;"Banskobystrický kraj";258;6967
2020-11-06;"Banskobystrický kraj";243;6709
2020-11-05;"Banskobystrický kraj";273;6466
2020-11-04;"Banskobystrický kraj";267;6193
2020-11-03;"Banskobystrický kraj";250;5926
2020-11-02;"Banskobystrický kraj";155;5676
2020-11-01;"Banskobystrický kraj";143;5521
2020-10-31;"Banskobystrický kraj";314;5378
2020-10-30;"Banskobystrický kraj";274;5064
2020-10-29;"Banskobystrický kraj";414;4790
2020-10-28;"Banskobystrický kraj";315;4376
2020-10-27;"Banskobystrický kraj";306;4061
2020-10-26;"Banskobystrický kraj";67;3755
2020-10-25;"Banskobystrický kraj";61;3688
2020-10-24;"Banskobystrický kraj";327;3627
2020-10-23;"Banskobystrický kraj";260;3300
2020-10-22;"Banskobystrický kraj";288;3040
2020-10-21;"Banskobystrický kraj";212;2752
2020-10-20;"Banskobystrický kraj";213;2540
2020-10-19;"Banskobystrický kraj";39;2327
2020-10-18;"Banskobystrický kraj";49;2288
2020-10-17;"Banskobystrický kraj";91;2239
2020-10-16;"Banskobystrický kraj";227;2148
2020-10-15;"Banskobystrický kraj";134;1921
2020-10-14;"Banskobystrický kraj";140;1787
2020-10-13;"Banskobystrický kraj";162;1647
2020-10-12;"Banskobystrický kraj";11;1485
2020-10-11;"Banskobystrický kraj";14;1474
2020-10-10;"Banskobystrický kraj";53;1460
2020-10-09;"Banskobystrický kraj";128;1407
2020-10-08;"Banskobystrický kraj";99;1279
2020-10-07;"Banskobystrický kraj";124;1180
2020-10-06;"Banskobystrický kraj";68;1056
2020-10-05;"Banskobystrický kraj";49;988
2020-10-04;"Banskobystrický kraj";8;939
2020-10-03;"Banskobystrický kraj";37;931
2020-10-02;"Banskobystrický kraj";74;894
2020-10-01;"Banskobystrický kraj";49;820
2020-09-30;"Banskobystrický kraj";60;771
2020-09-29;"Banskobystrický kraj";24;711
2020-09-27;"Banskobystrický kraj";20;687
2020-09-26;"Banskobystrický kraj";24;667
2020-09-25;"Banskobystrický kraj";29;643
2020-09-24;"Banskobystrický kraj";25;614
2020-09-23;"Banskobystrický kraj";17;589
2020-09-22;"Banskobystrický kraj";25;572
2020-09-21;"Banskobystrický kraj";3;547
2020-09-19;"Banskobystrický kraj";3;544
2020-09-18;"Banskobystrický kraj";24;541
2020-09-17;"Banskobystrický kraj";14;517
2020-09-16;"Banskobystrický kraj";6;503
2020-09-15;"Banskobystrický kraj";2;497
2020-09-14;"Banskobystrický kraj";13;495
2020-09-13;"Banskobystrický kraj";1;482
2020-09-12;"Banskobystrický kraj";5;481
2020-09-11;"Banskobystrický kraj";19;476
2020-09-10;"Banskobystrický kraj";11;457
2020-09-09;"Banskobystrický kraj";13;446
2020-09-08;"Banskobystrický kraj";5;433
2020-09-07;"Banskobystrický kraj";2;428
2020-09-04;"Banskobystrický kraj";9;426
2020-09-03;"Banskobystrický kraj";5;417
2021-01-21;"Bratislavský kraj";564;44937
2021-01-20;"Bratislavský kraj";764;44373
2021-01-19;"Bratislavský kraj";639;43609
2021-01-18;"Bratislavský kraj";949;42970
2021-01-17;"Bratislavský kraj";277;42021
2021-01-16;"Bratislavský kraj";206;41744
2021-01-15;"Bratislavský kraj";495;41538
2021-01-14;"Bratislavský kraj";632;41043
2021-01-13;"Bratislavský kraj";858;40411
2021-01-12;"Bratislavský kraj";946;39553
2021-01-11;"Bratislavský kraj";674;38607
2021-01-10;"Bratislavský kraj";310;37933
2021-01-09;"Bratislavský kraj";685;37623
2021-01-08;"Bratislavský kraj";1012;36938
2021-01-07;"Bratislavský kraj";875;35926
2021-01-06;"Bratislavský kraj";577;35051
2021-01-05;"Bratislavský kraj";1377;34474
2021-01-04;"Bratislavský kraj";1238;33097
2021-01-03;"Bratislavský kraj";154;31859
2021-01-02;"Bratislavský kraj";220;31705
2021-01-01;"Bratislavský kraj";434;31485
2020-12-31;"Bratislavský kraj";1428;31051
2020-12-30;"Bratislavský kraj";1284;29623
2020-12-29;"Bratislavský kraj";954;28339
2020-12-28;"Bratislavský kraj";803;27385
2020-12-27;"Bratislavský kraj";227;26582
2020-12-26;"Bratislavský kraj";98;26355
2020-12-25;"Bratislavský kraj";152;26257
2020-12-24;"Bratislavský kraj";728;26105
2020-12-23;"Bratislavský kraj";894;25377
2020-12-22;"Bratislavský kraj";1139;24483
2020-12-21;"Bratislavský kraj";2279;23344
2020-12-20;"Bratislavský kraj";232;21065
2020-12-19;"Bratislavský kraj";525;20833
2020-12-18;"Bratislavský kraj";813;20308
2020-12-17;"Bratislavský kraj";815;19495
2020-12-16;"Bratislavský kraj";717;18680
2020-12-15;"Bratislavský kraj";870;17963
2020-12-14;"Bratislavský kraj";544;17093
2020-12-13;"Bratislavský kraj";132;16549
2020-12-12;"Bratislavský kraj";530;16417
2020-12-11;"Bratislavský kraj";616;15887
2020-12-10;"Bratislavský kraj";503;15271
2020-12-09;"Bratislavský kraj";589;14768
2020-12-08;"Bratislavský kraj";431;14179
2020-12-07;"Bratislavský kraj";444;13748
2020-12-06;"Bratislavský kraj";113;13304
2020-12-05;"Bratislavský kraj";336;13191
2020-12-04;"Bratislavský kraj";299;12855
2020-12-03;"Bratislavský kraj";308;12556
2020-12-02;"Bratislavský kraj";335;12248
2020-12-01;"Bratislavský kraj";419;11913
2020-11-30;"Bratislavský kraj";246;11494
