Date;DeathCovid;DeathWithCovid;Total
24.9.2020;43;;43
25.9.2020;44;;44
28.9.2020;45;;45
29.9.2020;48;;48
2.10.2020;54;;54
3.10.2020;55;20;75
7.10.2020;57;25;82
12.10.2020;61;25;86
13.10.2020;66;25;91
14.10.2020;71;25;96
16.10.2020;82;35;117
17.10.2020;88;35;123
18.10.2020;92;37;129
20.10.2020;98;42;140
21.10.2020;115;52;167
22.10.2020;134;61;195
24.10.2020;159;65;224
25.10.2020;165;65;230
26.10.2020;176;68;244
27.10.2020;184;78;262
28.10.2020;200;82;282
29.10.2020;212;86;298
30.10.2020;219;86;305
2.11.2020;235;90;325
3.11.2020;261;97;358
4.11.2020;286;112;398
5.11.2020;317;121;438
6.11.2020;351;127;478
8.11.2020;366;129;495
9.11.2020;390;144;534
10.11.2020;414;155;569
11.11.2020;464;164;628
12.11.2020;491;164;655
13.11.2020;510;167;677
15.11.2020;526;167;693
16.11.2020;557;171;728
17.11.2020;579;176;755
18.11.2020;614;183;797
19.11.2020;644;185;829
20.11.2020;671;188;859
22.11.2020;709;194;903
23.11.2020;732;196;928
26.11.2020;771;198;969
27.11.2020;798;205;1003
28.11.2020;816;208;1024
