nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
AGEL Komárno;2020-11-10;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;21;0.700000;9;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;23;0.657143;12;35
AGEL Levice;2020-11-10;Nitriansky kraj;Okres Levice;Levice;P01675196101;11;0.523810;10;21;10;0.416667;14;24;5;1.000000;0;5;0;0.000000;0;0;0;0.000000;0;0;1;0.200000;4;5;27;0.490909;28;55
AGEL Levoča;2020-11-10;Prešovský kraj;Okres Levoča;Levoča;P76239015101;16;0.207792;3;77;11;0.423077;0;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;30;0.263158;4;114
AGEL Zlaté Moravce;2020-11-10;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;1;0.250000;3;4;8;0.470588;0;17;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;9;0.409091;4;22
AGEL Zvolen, pr. Krupina;2020-11-10;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-10;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;15;0.833333;3;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;17;0.850000;3;20
DFN Košice;2020-11-10;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-10;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;1;0.125000;7;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;1;0.026316;9;38
DONsP Dolný Kubín;2020-11-10;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;25;0.694444;11;36;1;0.250000;3;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;27;0.642857;15;42
FN Nitra;2020-11-10;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;46;0.373984;77;123;3;0.111111;24;27;3;0.375000;5;8;0;0.000000;10;10;5;0.416667;7;12;57;0.219231;203;260
