"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-18;"Neznáme";250;837;1087
2021-01-18;"Okres Bánovce nad Bebravou";4;36;40
2021-01-18;"Okres Banská Bystrica";20;130;150
2021-01-18;"Okres Banská Štiavnica";3;16;19
2021-01-18;"Okres Bardejov";13;82;95
2021-01-18;"Okres Bratislava I";26;140;166
2021-01-18;"Okres Bratislava II";83;352;435
2021-01-18;"Okres Bratislava III";41;200;241
2021-01-18;"Okres Bratislava IV";53;205;258
2021-01-18;"Okres Bratislava V";65;279;344
2021-01-18;"Okres Brezno";10;30;40
2021-01-18;"Okres Bytča";9;24;33
2021-01-18;"Okres Čadca";4;14;18
2021-01-18;"Okres Detva";7;61;68
2021-01-18;"Okres Dolný Kubín";9;60;69
2021-01-18;"Okres Dunajská Streda";67;63;130
2021-01-18;"Okres Galanta";29;74;103
2021-01-18;"Okres Gelnica";8;29;37
2021-01-18;"Okres Hlohovec";24;59;83
2021-01-18;"Okres Humenné";14;51;65
2021-01-18;"Okres Ilava";6;18;24
2021-01-18;"Okres Kežmarok";6;22;28
2021-01-18;"Okres Komárno";48;89;137
2021-01-18;"Okres Košice - okolie";81;209;290
2021-01-18;"Okres Košice I";18;47;65
2021-01-18;"Okres Košice II";22;64;86
2021-01-18;"Okres Košice III";7;20;27
2021-01-18;"Okres Košice IV";20;37;57
2021-01-18;"Okres Krupina";8;25;33
2021-01-18;"Okres Kysucké Nové Mesto";6;33;39
2021-01-18;"Okres Levice";67;74;141
2021-01-18;"Okres Levoča";8;33;41
2021-01-18;"Okres Liptovský Mikuláš";40;106;146
2021-01-18;"Okres Lučenec";5;50;55
2021-01-18;"Okres Malacky";28;212;240
2021-01-18;"Okres Martin";68;211;279
2021-01-18;"Okres Medzilaborce";2;6;8
2021-01-18;"Okres Michalovce";3;63;66
2021-01-18;"Okres Myjava";9;26;35
2021-01-18;"Okres Námestovo";16;61;77
2021-01-18;"Okres Nitra";39;130;169
2021-01-18;"Okres Nové Mesto nad Váhom";11;34;45
2021-01-18;"Okres Nové Zámky";97;161;258
2021-01-18;"Okres Partizánske";7;15;22
2021-01-18;"Okres Pezinok";25;86;111
2021-01-18;"Okres Piešťany";19;108;127
2021-01-18;"Okres Poltár";1;7;8
2021-01-18;"Okres Poprad";9;56;65
2021-01-18;"Okres Považská Bystrica";18;41;59
2021-01-18;"Okres Prešov";87;387;474
2021-01-18;"Okres Prievidza";3;53;56
2021-01-18;"Okres Púchov";7;17;24
2021-01-18;"Okres Revúca";4;17;21
2021-01-18;"Okres Rimavská Sobota";2;27;29
2021-01-18;"Okres Rožňava";1;52;53
2021-01-18;"Okres Ružomberok";11;66;77
2021-01-18;"Okres Sabinov";23;110;133
2021-01-18;"Okres Senec";39;206;245
2021-01-18;"Okres Senica";16;56;72
2021-01-18;"Okres Skalica";9;82;91
2021-01-18;"Okres Snina";6;39;45
2021-01-18;"Okres Sobrance";3;13;16
2021-01-18;"Okres Spišská Nová Ves";50;107;157
2021-01-18;"Okres Stará Ľubovňa";11;50;61
2021-01-18;"Okres Stropkov";1;19;20
2021-01-18;"Okres Svidník";4;52;56
2021-01-18;"Okres Šaľa";7;33;40
2021-01-18;"Okres Topoľčany";29;63;92
2021-01-18;"Okres Trebišov";50;156;206
2021-01-18;"Okres Trenčín";17;115;132
2021-01-18;"Okres Trnava";43;184;227
2021-01-18;"Okres Turčianske Teplice";7;14;21
2021-01-18;"Okres Tvrdošín";6;31;37
2021-01-18;"Okres Veľký Krtíš";4;15;19
2021-01-18;"Okres Vranov nad Topľou";38;129;167
2021-01-18;"Okres Zlaté Moravce";9;29;38
2021-01-18;"Okres Zvolen";23;186;209
2021-01-18;"Okres Žarnovica";4;26;30
2021-01-18;"Okres Žiar nad Hronom";19;34;53
2021-01-18;"Okres Žilina";64;184;248
2021-01-18;NA;100;349;449
2021-01-17;"Neznáme";135;513;648
2021-01-17;"Okres Bánovce nad Bebravou";10;53;63
2021-01-17;"Okres Banská Bystrica";67;142;209
2021-01-17;"Okres Banská Štiavnica";0;8;8
2021-01-17;"Okres Bardejov";5;30;35
2021-01-17;"Okres Bratislava I";17;127;144
2021-01-17;"Okres Bratislava II";46;224;270
2021-01-17;"Okres Bratislava III";33;124;157
2021-01-17;"Okres Bratislava IV";34;167;201
2021-01-17;"Okres Bratislava V";41;165;206
2021-01-17;"Okres Brezno";7;26;33
2021-01-17;"Okres Bytča";7;11;18
2021-01-17;"Okres Čadca";5;25;30
2021-01-17;"Okres Detva";4;19;23
2021-01-17;"Okres Dolný Kubín";1;5;6
2021-01-17;"Okres Dunajská Streda";26;63;89
2021-01-17;"Okres Galanta";8;54;62
2021-01-17;"Okres Gelnica";2;13;15
2021-01-17;"Okres Hlohovec";28;47;75
2021-01-17;"Okres Humenné";6;38;44
2021-01-17;"Okres Ilava";30;100;130
2021-01-17;"Okres Kežmarok";1;26;27
2021-01-17;"Okres Komárno";6;34;40
2021-01-17;"Okres Košice - okolie";40;127;167
2021-01-17;"Okres Košice I";5;8;13
2021-01-17;"Okres Košice II";10;26;36
2021-01-17;"Okres Košice III";2;3;5
2021-01-17;"Okres Košice IV";3;7;10
2021-01-17;"Okres Krupina";0;10;10
2021-01-17;"Okres Kysucké Nové Mesto";3;17;20
2021-01-17;"Okres Levice";16;59;75
2021-01-17;"Okres Levoča";2;22;24
2021-01-17;"Okres Liptovský Mikuláš";2;17;19
2021-01-17;"Okres Lučenec";7;58;65
2021-01-17;"Okres Malacky";15;76;91
2021-01-17;"Okres Martin";7;36;43
2021-01-17;"Okres Medzilaborce";2;12;14
2021-01-17;"Okres Michalovce";18;98;116
2021-01-17;"Okres Myjava";0;6;6
2021-01-17;"Okres Námestovo";5;17;22
2021-01-17;"Okres Nitra";13;55;68
2021-01-17;"Okres Nové Mesto nad Váhom";1;25;26
2021-01-17;"Okres Nové Zámky";3;26;29
2021-01-17;"Okres Partizánske";7;19;26
2021-01-17;"Okres Pezinok";21;97;118
2021-01-17;"Okres Piešťany";3;34;37
2021-01-17;"Okres Poltár";1;12;13
2021-01-17;"Okres Poprad";14;80;94
2021-01-17;"Okres Považská Bystrica";9;48;57
2021-01-17;"Okres Prešov";32;198;230
2021-01-17;"Okres Prievidza";14;83;97
2021-01-17;"Okres Púchov";10;61;71
2021-01-17;"Okres Revúca";16;40;56
2021-01-17;"Okres Rimavská Sobota";1;33;34
2021-01-17;"Okres Rožňava";1;12;13
2021-01-17;"Okres Ružomberok";14;63;77
2021-01-17;"Okres Sabinov";10;82;92
2021-01-17;"Okres Senec";30;168;198
2021-01-17;"Okres Senica";1;13;14
2021-01-17;"Okres Skalica";0;4;4
2021-01-17;"Okres Snina";4;21;25
2021-01-17;"Okres Sobrance";5;41;46
