Date; Asymptomatic_inclNULL ; Asymptomatic_exclNULL 
6.3.2020; -   ;0,00
8.3.2020; -   ;0,00
9.3.2020; -   ;0,00
11.3.2020; 0,67 ;0,67
12.3.2020; 0,09 ;0,09
13.3.2020; 0,45 ;0,45
14.3.2020; 0,10 ;0,10
15.3.2020; -   ;0,00
16.3.2020; 0,36 ;0,36
17.3.2020; 0,06 ;0,06
18.3.2020; -   ;0,00
19.3.2020; 0,13 ;0,13
20.3.2020; 0,33 ;0,33
21.3.2020; 0,27 ;0,27
22.3.2020; -   ;0,00
23.3.2020; 0,20 ;0,20
24.3.2020; 0,07 ;0,07
25.3.2020; 0,30 ;0,30
26.3.2020; 0,21 ;0,21
27.3.2020; 0,19 ;0,19
28.3.2020; 0,32 ;0,32
29.3.2020; 0,19 ;0,19
30.3.2020; 0,58 ;0,58
31.3.2020; 0,19 ;0,19
1.4.2020; 0,28 ;0,28
2.4.2020; 0,36 ;0,36
3.4.2020; 0,07 ;0,07
4.4.2020; 0,27 ;0,27
5.4.2020; 0,50 ;0,50
6.4.2020; 0,42 ;0,42
7.4.2020; 0,46 ;0,46
8.4.2020; 0,76 ;0,76
9.4.2020; 0,17 ;0,17
10.4.2020; 0,62 ;0,62
11.4.2020; 0,69 ;0,69
12.4.2020; 0,65 ;0,65
13.4.2020; 0,47 ;0,47
14.4.2020; 0,46 ;0,46
15.4.2020; 0,70 ;0,70
16.4.2020; 0,64 ;0,64
17.4.2020; 0,68 ;0,68
18.4.2020; 0,32 ;0,32
19.4.2020; 0,50 ;0,50
20.4.2020; 0,76 ;0,76
21.4.2020; 0,72 ;0,72
22.4.2020; 0,86 ;0,86
23.4.2020; 0,74 ;0,74
24.4.2020; 0,60 ;0,60
25.4.2020; 0,83 ;0,83
26.4.2020; 1,00 ;1,00
27.4.2020; 0,33 ;0,33
28.4.2020; 0,43 ;0,43
29.4.2020; -   ;0,00
30.4.2020; 0,86 ;0,86
1.5.2020; 0,25 ;0,25
3.5.2020; 0,25 ;0,25
4.5.2020; 0,60 ;0,60
5.5.2020; 0,71 ;0,71
6.5.2020; 0,86 ;0,86
7.5.2020; 0,70 ;0,70
9.5.2020; -   ;0,00
11.5.2020; 0,89 ;0,89
12.5.2020; 0,67 ;0,67
13.5.2020; 0,86 ;0,86
14.5.2020; 0,40 ;0,40
15.5.2020; 0,77 ;0,77
16.5.2020; 1,00 ;1,00
17.5.2020; 1,00 ;1,00
20.5.2020; 1,00 ;1,00
21.5.2020; -   ;0,00
23.5.2020; 0,80 ;0,80
24.5.2020; 1,00 ;1,00
25.5.2020; 0,50 ;0,50
26.5.2020; 0,67 ;0,67
27.5.2020; 0,75 ;0,75
29.5.2020; -   ;0,00
31.5.2020; 1,00 ;1,00
2.6.2020; 1,00 ;1,00
3.6.2020; 1,00 ;1,00
5.6.2020; 1,00 ;1,00
7.6.2020; 1,00 ;1,00
8.6.2020; 1,00 ;1,00
9.6.2020; 0,50 ;0,50
10.6.2020; 0,88 ;0,88
11.6.2020; -   ;0,00
12.6.2020; 0,70 ;0,70
13.6.2020; 1,00 ;1,00
14.6.2020; 1,00 ;1,00
16.6.2020; 0,75 ;0,75
18.6.2020; 0,71 ;0,71
19.6.2020; 0,69 ;0,69
20.6.2020; 0,50 ;0,50
21.6.2020; -   ;0,00
22.6.2020; 0,60 ;0,60
23.6.2020; 0,79 ;0,79
24.6.2020; 0,65 ;0,65
25.6.2020; 0,87 ;0,87
26.6.2020; 0,64 ;0,64
27.6.2020; 1,00 ;1,00
28.6.2020; -   ;0,00
29.6.2020; 0,25 ;0,25
30.6.2020; 0,58 ;0,58
1.7.2020; 0,62 ;0,62
2.7.2020; 0,68 ;0,68
3.7.2020; 0,59 ;0,59
4.7.2020; 0,56 ;0,56
5.7.2020; -   ;0,00
6.7.2020; 0,75 ;0,75
7.7.2020; 0,67 ;0,67
8.7.2020; 0,78 ;0,78
9.7.2020; 0,90 ;0,90
10.7.2020; 0,70 ;0,70
11.7.2020; 0,57 ;0,57
12.7.2020; -   ;0,00
13.7.2020; 0,29 ;0,29
14.7.2020; 0,57 ;0,57
15.7.2020; 0,29 ;0,29
16.7.2020; 0,64 ;0,64
17.7.2020; 0,46 ;0,46
18.7.2020; 0,70 ;0,70
20.7.2020; 0,47 ;0,47
21.7.2020; 0,69 ;0,69
22.7.2020; 0,50 ;0,50
23.7.2020; 0,28 ;0,28
24.7.2020; 0,45 ;0,45
25.7.2020; 0,74 ;0,74
26.7.2020; -   ;0,00
27.7.2020; 0,68 ;0,68
28.7.2020; 0,69 ;0,69
29.7.2020; 0,65 ;0,65
30.7.2020; 0,61 ;0,61
31.7.2020; 0,50 ;0,50
1.8.2020; 0,50 ;0,50
2.8.2020; 0,50 ;0,50
3.8.2020; 0,10 ;0,10
4.8.2020; 0,64 ;0,64
5.8.2020; 0,60 ;0,60
6.8.2020; 0,52 ;0,52
7.8.2020; 0,46 ;0,46
8.8.2020; 0,74 ;0,74
9.8.2020; 0,60 ;0,60
10.8.2020; 0,69 ;0,69
11.8.2020; 0,76 ;0,76
12.8.2020; 0,54 ;0,54
13.8.2020; 0,38 ;0,38
14.8.2020; 0,60 ;0,60
15.8.2020; 0,63 ;0,63
16.8.2020; 0,20 ;0,20
17.8.2020; 0,50 ;0,50
18.8.2020; 0,70 ;0,70
19.8.2020; 0,61 ;0,61
20.8.2020; 0,61 ;0,61
21.8.2020; 0,53 ;0,52
22.8.2020; 0,46 ;0,46
23.8.2020; 0,62 ;0,62
24.8.2020; 0,56 ;0,56
25.8.2020; 0,51 ;0,51
26.8.2020; 0,41 ;0,41
27.8.2020; 0,41 ;0,41
28.8.2020; 0,36 ;0,36
29.8.2020; 0,47 ;0,47
30.8.2020; 0,28 ;0,28
31.8.2020; 0,46 ;0,45
1.9.2020; 0,42 ;0,40
2.9.2020; 0,35 ;0,35
3.9.2020; 0,31 ;0,30
4.9.2020; 0,42 ;0,41
5.9.2020; 0,42 ;0,39
6.9.2020; 0,30 ;0,30
7.9.2020; 0,43 ;0,43
8.9.2020; 0,34 ;0,34
