Dátum;Okres;Po?et pozitívnych prípadov za daný de?;Denna incidencia;
3.9.2020;Banská Bystrica;2;1,804589975;
3.9.2020;Bratislava;42;6,222203786;
3.9.2020;Brezno;3;4,882057625;
3.9.2020;?adca;1;1,110124334;
3.9.2020;Dolný Kubín;1;2,534436658;
3.9.2020;Dunajská Streda;3;2,451821704;
3.9.2020;Galanta;1;1,062970364;
3.9.2020;Ilava;1;1,689545935;
3.9.2020;Komárno;1;0,983172994;
3.9.2020;Košice;6;2,513878705;
3.9.2020;Kysucké Nové Mesto;1;3,038220818;
3.9.2020;Liptovský Mikuláš;4;5,535527709;
3.9.2020;Malacky;1;1,345478519;
3.9.2020;Martin;1;1,038011999;
3.9.2020;Michalovce;9;8,129714105;
3.9.2020;Nitra;11;6,808615994;
3.9.2020;Nové Zámky;1;0,71940117;
3.9.2020;Partizánske;2;4,38630158;
3.9.2020;Pezinok;2;3,070074449;
3.9.2020;Pieš?any;1;1,5922933;
3.9.2020;Považská Bystrica;1;1,601575951;
3.9.2020;Prešov;4;2,2777811;
3.9.2020;Prievidza;2;1,492765684;
3.9.2020;Rož?ava;1;1,607497368;
3.9.2020;Ružomberok;1;1,763606222;
3.9.2020;Senec;6;6,679134384;
3.9.2020;Skalica;1;2,122939422;
3.9.2020;Sobrance;1;4,382312985;
3.9.2020;Spišská Nová Ves;5;5,011777678;
3.9.2020;Stará ?ubov?a;4;7,413791506;
3.9.2020;Topo??any;1;1,425892787;
3.9.2020;Tren?ín;4;3,492748182;
3.9.2020;Trnava;2;1,509952474;
3.9.2020;Tvrdošín;4;11,05583195;
3.9.2020;Zlaté Moravce;1;2,464723643;
3.9.2020;Žilina;5;3,163695956;
4.9.2020;Banská Bystrica;2;1,804589975;
4.9.2020;Bardejov;2;2,571652673;
4.9.2020;Bratislava;75;11,11107819;
4.9.2020;Byt?a;1;3,234466475;
4.9.2020;?adca;1;1,110124334;
4.9.2020;Dolný Kubín;1;2,534436658;
4.9.2020;Dunajská Streda;6;4,903643407;
4.9.2020;Komárno;1;0,983172994;
4.9.2020;Košice;6;2,513878705;
4.9.2020;Lu?enec;3;4,083521629;
4.9.2020;Malacky;1;1,345478519;
4.9.2020;Martin;1;1,038011999;
4.9.2020;Michalovce;4;3,613206269;
4.9.2020;Námestovo;1;1,595825321;
4.9.2020;Nitra;22;13,61723199;
4.9.2020;Nové Zámky;6;4,316407023;
4.9.2020;Pezinok;6;9,210223348;
4.9.2020;Poprad;3;2,859498539;
4.9.2020;Považská Bystrica;1;1,601575951;
4.9.2020;Prešov;8;4,555562199;
4.9.2020;Prievidza;4;2,985531369;
4.9.2020;Ružomberok;2;3,527212444;
4.9.2020;Sabinov;2;3,304774573;
4.9.2020;Senec;5;5,56594532;
4.9.2020;Senica;2;3,308738378;
4.9.2020;Skalica;2;4,245878844;
4.9.2020;Snina;1;2,759343828;
4.9.2020;Sobrance;1;4,382312985;
