"Date";"Region";"Region_code";"first_dose";"second_dose"
2021-02-03;"Banskobystrický kraj";"SK032";914;214
2021-02-03;"Bratislavský kraj";"SK010";1168;288
2021-02-03;"Košický kraj";"SK042";1421;264
2021-02-03;"Nitriansky kraj";"SK023";906;384
2021-02-03;"Prešovský kraj";"SK041";1114;542
2021-02-03;"Trenčiansky kraj";"SK022";1172;301
2021-02-03;"Trnavský kraj";"SK021";1251;105
2021-02-03;"Žilinský kraj";"SK031";753;230
2021-02-02;"Banskobystrický kraj";"SK032";968;399
2021-02-02;"Bratislavský kraj";"SK010";1014;1313
2021-02-02;"Košický kraj";"SK042";1586;420
2021-02-02;"Nitriansky kraj";"SK023";820;398
2021-02-02;"Prešovský kraj";"SK041";1407;579
2021-02-02;"Trenčiansky kraj";"SK022";401;1
2021-02-02;"Trnavský kraj";"SK021";1283;133
2021-02-02;"Žilinský kraj";"SK031";1285;202
2021-02-01;"Banskobystrický kraj";"SK032";940;344
2021-02-01;"Bratislavský kraj";"SK010";769;983
2021-02-01;"Košický kraj";"SK042";1439;913
2021-02-01;"Nitriansky kraj";"SK023";865;220
2021-02-01;"Prešovský kraj";"SK041";1840;44
2021-02-01;"Trenčiansky kraj";"SK022";807;14
2021-02-01;"Trnavský kraj";"SK021";803;207
2021-02-01;"Žilinský kraj";"SK031";1340;184
2021-01-31;"Banskobystrický kraj";"SK032";0;0
2021-01-31;"Bratislavský kraj";"SK010";60;0
2021-01-31;"Košický kraj";"SK042";0;0
2021-01-31;"Prešovský kraj";"SK041";53;168
2021-01-31;"Trenčiansky kraj";"SK022";0;0
2021-01-31;"Trnavský kraj";"SK021";0;0
2021-01-31;"Žilinský kraj";"SK031";0;0
2021-01-30;"Bratislavský kraj";"SK010";180;0
2021-01-30;"Prešovský kraj";"SK041";105;3
2021-01-30;"Žilinský kraj";"SK031";696;0
2021-01-29;"Banskobystrický kraj";"SK032";817;371
2021-01-29;"Bratislavský kraj";"SK010";1742;419
2021-01-29;"Košický kraj";"SK042";1718;327
2021-01-29;"Nitriansky kraj";"SK023";824;626
2021-01-29;"Prešovský kraj";"SK041";1110;468
2021-01-29;"Trenčiansky kraj";"SK022";1443;4
2021-01-29;"Trnavský kraj";"SK021";553;118
2021-01-29;"Žilinský kraj";"SK031";1259;0
2021-01-28;"Banskobystrický kraj";"SK032";858;192
2021-01-28;"Bratislavský kraj";"SK010";1539;433
2021-01-28;"Košický kraj";"SK042";1344;66
2021-01-28;"Nitriansky kraj";"SK023";960;368
2021-01-28;"Prešovský kraj";"SK041";979;449
2021-01-28;"Trenčiansky kraj";"SK022";810;0
2021-01-28;"Trnavský kraj";"SK021";584;0
2021-01-28;"Žilinský kraj";"SK031";1190;0
2021-01-27;"Banskobystrický kraj";"SK032";656;3
2021-01-27;"Bratislavský kraj";"SK010";1586;41
2021-01-27;"Košický kraj";"SK042";1089;81
2021-01-27;"Nitriansky kraj";"SK023";639;143
2021-01-27;"Prešovský kraj";"SK041";755;1
2021-01-27;"Trenčiansky kraj";"SK022";743;0
2021-01-27;"Trnavský kraj";"SK021";493;1
2021-01-27;"Žilinský kraj";"SK031";611;0
2021-01-26;"Banskobystrický kraj";"SK032";775;135
2021-01-26;"Bratislavský kraj";"SK010";1356;26
2021-01-26;"Košický kraj";"SK042";1282;116
2021-01-26;"Nitriansky kraj";"SK023";619;105
2021-01-26;"Prešovský kraj";"SK041";900;0
2021-01-26;"Trenčiansky kraj";"SK022";498;0
2021-01-26;"Trnavský kraj";"SK021";509;0
2021-01-26;"Žilinský kraj";"SK031";576;0
2021-01-25;"Banskobystrický kraj";"SK032";624;0
2021-01-25;"Bratislavský kraj";"SK010";1164;29
2021-01-25;"Košický kraj";"SK042";1307;2028
2021-01-25;"Nitriansky kraj";"SK023";589;96
2021-01-25;"Prešovský kraj";"SK041";822;0
2021-01-25;"Trenčiansky kraj";"SK022";378;0
2021-01-25;"Trnavský kraj";"SK021";349;1
2021-01-25;"Žilinský kraj";"SK031";753;0
2021-01-24;"Bratislavský kraj";"SK010";0;0
2021-01-24;"Košický kraj";"SK042";0;0
2021-01-24;"Prešovský kraj";"SK041";0;0
2021-01-24;"Trenčiansky kraj";"SK022";0;0
2021-01-24;"Trnavský kraj";"SK021";0;0
2021-01-24;"Žilinský kraj";"SK031";0;0
2021-01-23;"Trenčiansky kraj";"SK022";54;0
2021-01-23;"Žilinský kraj";"SK031";222;0
2021-01-22;"Banskobystrický kraj";"SK032";382;6
2021-01-22;"Bratislavský kraj";"SK010";1069;3
2021-01-22;"Košický kraj";"SK042";1015;20
2021-01-22;"Nitriansky kraj";"SK023";421;96
2021-01-22;"Prešovský kraj";"SK041";1188;0
2021-01-22;"Trenčiansky kraj";"SK022";991;0
2021-01-22;"Trnavský kraj";"SK021";198;0
2021-01-22;"Žilinský kraj";"SK031";873;0
2021-01-21;"Banskobystrický kraj";"SK032";228;0
2021-01-21;"Bratislavský kraj";"SK010";728;476
2021-01-21;"Košický kraj";"SK042";690;36
2021-01-21;"Nitriansky kraj";"SK023";1490;132
2021-01-21;"Prešovský kraj";"SK041";1368;0
2021-01-21;"Trenčiansky kraj";"SK022";691;0
2021-01-21;"Trnavský kraj";"SK021";230;0
2021-01-21;"Žilinský kraj";"SK031";802;0
2021-01-20;"Banskobystrický kraj";"SK032";564;0
2021-01-20;"Bratislavský kraj";"SK010";1134;474
2021-01-20;"Košický kraj";"SK042";560;49
2021-01-20;"Nitriansky kraj";"SK023";513;322
2021-01-20;"Prešovský kraj";"SK041";1455;15
2021-01-20;"Trenčiansky kraj";"SK022";908;0
2021-01-20;"Trnavský kraj";"SK021";461;0
2021-01-20;"Žilinský kraj";"SK031";838;1
2021-01-19;"Banskobystrický kraj";"SK032";760;0
2021-01-19;"Bratislavský kraj";"SK010";878;403
2021-01-19;"Košický kraj";"SK042";1301;53
2021-01-19;"Nitriansky kraj";"SK023";168;1
2021-01-19;"Prešovský kraj";"SK041";1653;0
2021-01-19;"Trenčiansky kraj";"SK022";662;0
2021-01-19;"Trnavský kraj";"SK021";293;0
2021-01-19;"Žilinský kraj";"SK031";874;0
2021-01-18;"Banskobystrický kraj";"SK032";958;0
2021-01-18;"Bratislavský kraj";"SK010";1124;455
2021-01-18;"Košický kraj";"SK042";1428;45
2021-01-18;"Nitriansky kraj";"SK023";333;82
2021-01-18;"Prešovský kraj";"SK041";1446;0
2021-01-18;"Trenčiansky kraj";"SK022";677;0
2021-01-18;"Trnavský kraj";"SK021";351;0
2021-01-18;"Žilinský kraj";"SK031";2084;0
2021-01-17;"Košický kraj";"SK042";0;0
2021-01-17;"Prešovský kraj";"SK041";54;0
2021-01-16;"Banskobystrický kraj";"SK032";217;0
2021-01-16;"Bratislavský kraj";"SK010";60;0
2021-01-16;"Košický kraj";"SK042";193;0
2021-01-16;"Prešovský kraj";"SK041";66;0
2021-01-16;"Trenčiansky kraj";"SK022";420;0
2021-01-16;"Trnavský kraj";"SK021";120;0
2021-01-16;"Žilinský kraj";"SK031";132;0
2021-01-15;"Banskobystrický kraj";"SK032";974;0
2021-01-15;"Bratislavský kraj";"SK010";1371;0
2021-01-15;"Košický kraj";"SK042";1018;0
2021-01-15;"Nitriansky kraj";"SK023";521;0
2021-01-15;"Prešovský kraj";"SK041";1125;0
2021-01-15;"Trenčiansky kraj";"SK022";753;0
2021-01-15;"Trnavský kraj";"SK021";941;0
2021-01-15;"Žilinský kraj";"SK031";839;0
2021-01-14;"Banskobystrický kraj";"SK032";690;0
2021-01-14;"Bratislavský kraj";"SK010";1454;0
2021-01-14;"Košický kraj";"SK042";794;0
2021-01-14;"Nitriansky kraj";"SK023";937;0
2021-01-14;"Prešovský kraj";"SK041";1252;0
2021-01-14;"Trenčiansky kraj";"SK022";564;0
2021-01-14;"Trnavský kraj";"SK021";887;0
2021-01-14;"Žilinský kraj";"SK031";1009;0
2021-01-13;"Banskobystrický kraj";"SK032";660;0
2021-01-13;"Bratislavský kraj";"SK010";1250;0
2021-01-13;"Košický kraj";"SK042";922;0
2021-01-13;"Nitriansky kraj";"SK023";542;0
2021-01-13;"Prešovský kraj";"SK041";1095;0
2021-01-13;"Trenčiansky kraj";"SK022";635;0
2021-01-13;"Trnavský kraj";"SK021";677;0
2021-01-13;"Žilinský kraj";"SK031";727;0
2021-01-12;"Banskobystrický kraj";"SK032";614;0
2021-01-12;"Bratislavský kraj";"SK010";1402;0
2021-01-12;"Košický kraj";"SK042";4981;0
2021-01-12;"Nitriansky kraj";"SK023";686;0
2021-01-12;"Prešovský kraj";"SK041";990;0
2021-01-12;"Trenčiansky kraj";"SK022";536;0
2021-01-12;"Trnavský kraj";"SK021";540;0
2021-01-12;"Žilinský kraj";"SK031";765;0
2021-01-11;"Banskobystrický kraj";"SK032";460;0
2021-01-11;"Bratislavský kraj";"SK010";1195;0
2021-01-11;"Košický kraj";"SK042";213;0
2021-01-11;"Nitriansky kraj";"SK023";703;0
2021-01-11;"Prešovský kraj";"SK041";0;0
2021-01-11;"Trenčiansky kraj";"SK022";471;0
2021-01-11;"Trnavský kraj";"SK021";300;0
2021-01-11;"Žilinský kraj";"SK031";553;0
2021-01-10;"Nitriansky kraj";"SK023";2845;0
