Date;Units;Doses;Status;Status update;Vaccine
26.12.2020;10;9750;Delivered;;Pfizer
4.1.2021;78;76050;Delivered;;Pfizer
11.1.2021;44;42900;Delivered;;Pfizer
18.1.2021;40;46800;Delivered;;Pfizer
25.1.2021;27;31590;Delivered;;Pfizer
1.2.2021;39;45630;Delivered;;Pfizer
8.2.2021;39;45630;Delivered;;Pfizer
16.2.2021;9;10530;Delivered;;Pfizer
17.2.2021;34;39780;Delivered;;Pfizer
18.2.2021;5;5850;Delivered;;Pfizer
22.2.2021;48;56160;Delivered;;Pfizer
1.3.2021;44;51480;Delivered;;Pfizer
8.3.2021;129;150930;Delivered;;Pfizer
15.3.2021;44;51480;Delivered;;Pfizer
22.3.2021;47;54990;Delivered;;Pfizer
29.3.2021;47;54990;Delivered;;Pfizer
5.4.2021;62;72540;Delivered;;Pfizer
12.4.2021;63;73710;Delivered;;Pfizer
19.4.2021;63;73710;Delivered;;Pfizer
26.4.2021;113;132210;Delivered;;Pfizer
3.5.2021;174;203580;Delivered;7.5.2021;Pfizer
10.5.2021;174;203580;Delivered;12.5.2021;Pfizer
17.5.2021;176;205920;Delivered;18.5.2021;Pfizer
24.5.2021;176;205920;Delivered;18.5.2021;Pfizer
31.5.2021;195;228150;Delivered;15.4.2021;Pfizer
7.6.2021;165;193050;Delivered;27.5.2021;Pfizer
14.6.2021;165;193050;Delivered;15.4.2021;Pfizer
21.6.2021;227;265590;Delivered;15.4.2021;Pfizer
28.6.2021;227;265590;Delivered;29.6.2021;Pfizer
5.7.2021;71;83070;Confirmed;29.6.2021;Pfizer
12.7.2021;71;83070;Assumption;;Pfizer
19.7.2021;71;83070;Assumption;;Pfizer
11.1.2021;48;4800;Delivered;;Moderna
25.1.2021;60;6000;Delivered;;Moderna
8.2.2021;120;12000;Delivered;;Moderna
26.2.2021;228;22800;Delivered;;Moderna
12.3.2021;300;30000;Delivered;;Moderna
25.3.2021;456;45600;Delivered;;Moderna
8.4.2021;384;38400;Delivered;;Moderna
25.4.2021;216;21600;Delivered;16.4.2021;Moderna
23.4.2021;0;-10000;Planned;;Moderna
29.4.2021;0;25200;Delivered;9.5.2021;Moderna
6.5.2021;0;36000;Delivered;9.5.2021;Moderna
13.5.2021;0;36000;Delivered;7.5.2021;Moderna
20.5.2021;0;36000;Delivered;24.5.2021;Moderna
27.5.2021;0;36000;Delivered;24.5.2021;Moderna
3.6.2021;0;36000;Delivered;14.5.2021;Moderna
15.6.2021;0;36000;Delivered;14.5.2021;Moderna
18.6.2021;384;38400;Delivered;14.5.2021;Moderna
25.6.2021;0;40800;Delivered;14.5.2021;Moderna
2.7.2021;0;40800;Confirmed;25.6.2021;Moderna
9.7.2021;0;48000;Planned;14.5.2021;Moderna
16.7.2021;0;48000;Planned;14.5.2021;Moderna
23.7.2021;0;48000;Planned;14.5.2021;Moderna
30.7.2021;0;48000;Planned;14.5.2021;Moderna
5.2.2021;2160;21600;Delivered;;AstraZeneca
10.2.2021;2880;28800;Delivered;;AstraZeneca
17.2.2021;4560;45600;Delivered;;AstraZeneca
26.2.2021;4080;40800;Delivered;;AstraZeneca
5.3.2021;6000;60000;Delivered;;AstraZeneca
12.3.2021;4620;46200;Delivered;;AstraZeneca
18.3.2021;1200;12000;Delivered;;AstraZeneca
25.3.2021;1200;12000;Delivered;;AstraZeneca
1.4.2021;12000;120000;Delivered;;AstraZeneca
8.4.2021;1680;16800;Delivered;;AstraZeneca
15.4.2021;0;0;Delivered;;AstraZeneca
19.4.2021;4080;40800;Delivered;;AstraZeneca
26.4.2021;1200;12000;Delivered;;AstraZeneca
30.4.2021;18000;180000;Delivered;3.5.2021;AstraZeneca
11.5.2021;3840;38400;Delivered;8.5.2021;AstraZeneca
18.5.2021;2880;28800;Delivered;21.5.2021;AstraZeneca
25.5.2021;15840;158400;Delivered;23.5.2021;AstraZeneca
14.6.2021;4800;48000;Delivered;14.6.2021;AstraZeneca
22.6.2021;5760;57600;Delivered;16.6.2021;AstraZeneca
29.6.2021;0;328800;Confirmed;;AstraZeneca
6.7.2021;0;30000;Assumption;;AstraZeneca
13.7.2021;0;30000;Assumption;;AstraZeneca
20.7.2021;0;30000;Assumption;;AstraZeneca
27.7.2021;0;30000;Assumption;;AstraZeneca
14.4.2021;0;9600;Delivered;;J&J
29.4.2021;0;6500;Delivered;30.4.2021;J&J
14.5.2021;0;12000;Delivered;13.5.2021;J&J
21.5.2021;0;11600;Delivered;19.5.2021;J&J
28.5.2021;0;26400;Delivered;27.5.2021;J&J
4.6.2021;0;23760;Delivered;28.5.2021;J&J
11.6.2021;0;12600;Delivered;3.6.2021;J&J
15.6.2021;0;12000;Delivered;15.6.2021;J&J
29.6.2021;0;22615;Delivered;25.6.2021;J&J
6.7.2021;0;16800;Confirmed;;J&J
13.7.2021;0;23000;Assumption;;J&J
20.7.2021;0;23000;Assumption;;J&J
27.7.2021;0;23000;Assumption;;J&J
1.3.2021;0;200000;Delivered;;Sputnik
