"Date";"Region";"Region_code";"Vaccine_name";"first_dose";"second_dose";"third_dose"
2022-09-19;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-09-19;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";0;3;3
2022-09-19;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-19;"Košický kraj";"SK042";"Comirnaty Original/Omicron BA.1 (15/15 mikrogramov)/dávka injekčná disperzia 10x2,25 ml (liek.inj.skl.)";0;0;7
2022-09-19;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;0
2022-09-19;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;1
2022-09-19;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";3;3;1
2022-09-19;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;5
2022-09-18;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";0;1;0
2022-09-16;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";0;0;0
2022-09-16;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";3;2;20
2022-09-16;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";2;1;5
2022-09-16;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";0;0;6
2022-09-16;"Nitriansky kraj";"SK023";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";1;0;0
2022-09-16;"Prešovský kraj";"SK041";"Comirnaty koncentrát na injekčnú disperziu";0;0;4
2022-09-16;"Trenčiansky kraj";"SK022";"Comirnaty 10 mikrogramov/dávka koncentrát na injekčnú disperziu, con dsi 10x1,3 ml (liek.inj.skl.)";1;0;0
2022-09-16;"Trenčiansky kraj";"SK022";"Comirnaty koncentrát na injekčnú disperziu";0;0;2
2022-09-16;"Trnavský kraj";"SK021";"Comirnaty koncentrát na injekčnú disperziu";0;1;5
2022-09-16;"Žilinský kraj";"SK031";"Comirnaty koncentrát na injekčnú disperziu";0;1;2
2022-09-16;"Žilinský kraj";"SK031";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-09-14;"Banskobystrický kraj";"SK032";"Comirnaty koncentrát na injekčnú disperziu";1;0;4
2022-09-14;"Banskobystrický kraj";"SK032";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";3;0;2
2022-09-14;"Bratislavský kraj";"SK010";"Comirnaty koncentrát na injekčnú disperziu";13;12;48
2022-09-14;"Bratislavský kraj";"SK010";"COVID-19 Vaccine Janssen injekčná suspenzia sus inj 10x2,5 ml (liek.inj.skl.)";4;0;10
2022-09-14;"Košický kraj";"SK042";"Comirnaty koncentrát na injekčnú disperziu";0;2;10
2022-09-14;"Košický kraj";"SK042";"Nuvaxovid injekčná disperzia (dis inj 10x0,5 ml (liek.inj.skl.)";0;0;1
2022-09-14;"Nitriansky kraj";"SK023";"Comirnaty koncentrát na injekčnú disperziu";1;0;6
